geocod;geodsg;dim_3;dim_3_t;valor;periodo;indicador_cod;indicador_dsg
PT;Portugal;2;M;19.3;1998;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;1998;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;1999;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;1999;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;1999;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;2000;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;2000;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;2000;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;2001;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;2001;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;2001;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;2002;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;2002;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;2002;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;2003;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;2003;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;2003;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;2004;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;2004;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;2004;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
