geocod;geodsg;valor;periodo;indicador_cod;indicador_dsg
1500813;Silves;179.9;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11A1317;Vila Nova de Gaia;180.5;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1840204;Barrancos;181.2;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1120301;Amares;182;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1861207;Elvas;182.4;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16D0112;Murtosa;182.7;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11A0109;Santa Maria da Feira;183;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1870708;Mourão;183.1;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16D0115;Ovar;183.8;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1870705;Évora;184.1;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16D0118;Vagos;184.2;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16F1010;Marinha Grande;184.7;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
119;Ave;185.2;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11A;Área Metropolitana do Porto;185.4;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11A1304;Gondomar;185.4;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16B;Oeste;185.4;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
3003105;Ponta do Sol;186.2;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16B1108;Lourinhã;186.5;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16D0102;Albergaria-a-Velha;187.5;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
PT;Portugal;188.1;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1;Continente;190.2;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16E0607;Lousã;190.6;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1701504;Barreiro;191.1;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1500812;São Brás de Alportel;191.3;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16G1823;Viseu;191.3;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1500803;Aljezur;191.4;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16D;Região de Aveiro;191.9;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1840207;Cuba;191.9;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1840214;Vidigueira;193;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11A0116;São João da Madeira;194;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1870713;Viana do Alentejo;194.8;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11A1308;Matosinhos;195.5;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16B1014;Peniche;195.6;2011;0008258;"Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
