tempo;regiao;instituicao;localizacao_geografica;mortalidade_avc_hemorragico_30_dias;mortalidade_avc_isquemico_30_dias
2024-06;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, EPE;39.232503, -8.715083;63.16;16.92
2024-06;Região de Saúde do Centro;Unidade Local de Saúde da Região de Aveiro, EPE;40.636332, -8.654388;35.29;9.09
2024-06;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra, EPE;38.7436332060551, -9.0;25.93;13.26
2024-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, EPE;39.2999, -7.4267;55.0;17.65
2024-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.039936, -8.731693;36.0;10.53
2024-06;Região de Saúde Norte;Unidade Local de Saúde do Médio Ave, EPE;41.3422317504883, -8.0;45.45;12.31
2024-06;Região de Saúde LVT;Unidade Local de Saúde do Oeste, EPE;39.4055519104004, -9.0;14.29;13.92
2025-06;Região de Saúde do Centro;Instituto Português Oncologia  F. Gentil - Centro, E.P.E.;40.217, -8.40991;;
2025-06;Região de Saúde LVT;Instituto Português Oncologia  F. Gentil - Lisboa, E.P.E.;38.739946, -9.161139;;100.0
2025-06;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, EPE;39.7418, -8.79444;;0.0
2025-06;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra, EPE;38.7436332060551, -9.0;27.54;11.67
2025-06;Região de Saúde Norte;Unidade Local de Saúde de Braga, EPE;41.562328338623, -8.3;21.95;14.48
2025-06;Região de Saúde Norte;Unidade Local de Saúde de São João, EPE;41.1833, -8.60193;23.46;11.48
2025-06;Região de Saúde LVT;Unidade Local de Saúde de São José, EPE;38.7169, -9.13654;;
2025-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, EPE;39.2999, -7.4267;40.0;18.26
2025-06;Região de Saúde Norte;Unidade Local de Saúde do Alto Ave, EPE;41.488574, -8.338685;41.18;5.8
2025-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.039936, -8.731693;;
2024-07;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal, EPE;38.67381, -9.17597;27.59;18.48
2024-07;Região de Saúde do Centro;Unidade Local de Saúde de Coimbra, EPE;40.217426, -8.410075;19.58;12.18
2024-07;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.181859, -8.663374;50.0;22.12
2024-07;Região de Saúde LVT;Unidade Local de Saúde de São José, EPE;38.7169, -9.13654;11.76;11.11
2024-07;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE;41.310331, -7.760103;26.32;10.33
2024-07;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, EPE;40.130297609, -8.8606;50.0;10.84
2025-07;Região de Saúde do Centro;Unidade Local de Saúde da Cova da Beira, EPE;40.2776794433594, -7.0;;
2025-07;Região de Saúde Norte;Unidade Local de Saúde de Barcelos/Esposende, EPE;41.533438, -8.616604;64.29;4.49
2025-07;Região de Saúde Norte;Unidade Local de Saúde de Braga, EPE;41.562328338623, -8.3;21.95;14.47
2025-07;Região de Saúde LVT;Unidade Local de Saúde de Lisboa Ocidental, EPE;38.7084, -9.21711;50.0;14.29
2025-07;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE;41.310331, -7.760103;45.95;18.67
2025-07;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, EPE;37.024668, -7.928949;18.18;12.5
2025-07;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.697519, -8.832517;30.61;13.39
2025-07;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, EPE;39.605565, -8.404399;15.63;7.74
2024-08;Região de Saúde LVT;Unidade Local de Saúde da Arrábida, EPE;38.529351, -8.881073;40.91;11.46
2024-08;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal, EPE;38.67381, -9.17597;27.66;17.29
2024-08;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga, EPE;40.9295, -8.54567;44.44;10.65
2024-08;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.181859, -8.663374;50.0;22.12
2024-08;Região de Saúde Norte;Unidade Local de Saúde de Santo António, EPE;41.147283, -8.619536;22.11;23.98
2024-08;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.697519, -8.832517;36.84;12.68
2024-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.039936, -8.731693;35.71;13.21
2024-08;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, EPE;39.605565, -8.404399;47.5;11.89
2024-09;Região de Saúde LVT;Hospital de Cascais, PPP;38.730076, -9.418207;47.83;8.16
2024-09;Região de Saúde Norte;Instituto Português Oncologia  F. Gentil - Porto, E.P.E.;41.1811, -8.60469;40.0;40.0
2024-09;Região de Saúde LVT;Unidade Local de Saúde da Arrábida, EPE;38.529351, -8.881073;42.86;11.71
2024-09;Região de Saúde do Centro;Unidade Local de Saúde da Região de Aveiro, EPE;40.636332, -8.654388;37.74;8.2
2024-09;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra, EPE;38.7436332060551, -9.0;23.38;11.75
2024-09;Região de Saúde do Centro;Unidade Local de Saúde de Dão-Lafões, EPE;40.6509, -7.91039;20.24;8.99
2024-09;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas, EPE;38.821769, -9.176301;13.46;8.95
2024-09;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE;41.310331, -7.760103;27.66;10.5
2024-09;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, EPE;37.024668, -7.928949;29.28;13.71
2024-09;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, EPE;38.977344, -8.984882;26.32;13.33
2024-09;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.802452, -6.768198;32.5;14.13
2024-10;Região de Saúde LVT;Hospital de Cascais, PPP;38.730076, -9.418207;44.0;7.87
2024-10;Região de Saúde LVT;Instituto Português Oncologia  F. Gentil - Lisboa, E.P.E.;38.739946, -9.161139;;0.0
2024-10;Região de Saúde Norte;Instituto Português Oncologia  F. Gentil - Porto, E.P.E.;41.1811, -8.60469;40.0;40.0
2024-10;Região de Saúde do Centro;Unidade Local de Saúde Castelo Branco, EPE;39.822737, -7.499876;34.38;11.93
2024-10;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE;41.383183, -8.758784;15.38;12.24
