ano;trimestre;regiao;instituicao;cod_capitulo;desc_capitulo;taxa_internamento;dias_internamento;taxa_mortalidade
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.;9;Doenças do aparelho circulatório;14.35;6195;7.75
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.;11;Doenças do aparelho digestivo;9.9;4189;4.35
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.;12;Doenças da pele e do tecido subcutâneo;0.5;287;3.57
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.;15;Gravidez, parto e puerpério;5.83;928;0.0
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde do Alto Ave, E.P.E.;1;Algumas doenças infecciosas e parasitárias;2.51;1762;38.33
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde do Alto Ave, E.P.E.;10;Doenças do aparelho respiratório;7.19;3929;20.64
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde do Alto Ave, E.P.E.;11;Doenças do aparelho digestivo;9.45;3109;7.3
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Barcelos / Esposende, E.P.E.;19;Lesões, envenenamento e algumas outras consequências de causas externas;14.77;1026;3.08
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Barcelos / Esposende, E.P.E.;21;Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde;2.16;173;0.0
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Barcelos / Esposende, E.P.E.;22;Códigos para fins especiais;3.75;493;15.15
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Braga, E.P.E.;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;1.86;1630;0.0
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Braga, E.P.E.;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;2.52;1294;4.05
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Braga, E.P.E.;15;Gravidez, parto e puerpério;15.28;2926;0.0
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Braga, E.P.E.;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;2.23;629;2.29
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Braga, E.P.E.;19;Lesões, envenenamento e algumas outras consequências de causas externas;9.71;5976;6.14
2020;Terceiro;Região de Saúde do Centro;Unidade Local de Saúde de Coimbra, E.P.E.;15;Gravidez, parto e puerpério;11.17;4777;0.0
2020;Terceiro;Região de Saúde do Centro;Unidade Local de Saúde de Coimbra, E.P.E.;16;Algumas condições originadas no período perinatal;0.16;184;10.53
2020;Terceiro;Região de Saúde do Centro;Unidade Local de Saúde de Coimbra, E.P.E.;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;1.28;1075;2.67
2020;Terceiro;Região de Saúde do Centro;Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.;9;Doenças do aparelho circulatório;14.86;6575;9.75
2020;Terceiro;Região de Saúde do Centro;Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.;10;Doenças do aparelho respiratório;9.41;4586;25.78
2020;Terceiro;Região de Saúde do Centro;Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.;14;Doenças do aparelho geniturinário;7.75;3324;6.57
2020;Terceiro;Região de Saúde do Centro;Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.;16;Algumas condições originadas no período perinatal;0.18;190;0.0
2020;Terceiro;Região de Saúde do Centro;Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.;17;Malformações congénitas, deformações e anomalias cromossómicas;0.27;93;0.0
2020;Terceiro;Região de Saúde do Centro;Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;2.51;947;5.47
2020;Terceiro;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, E.P.E.;2;Neoplasias;8.45;794;11.76
2020;Terceiro;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, E.P.E.;11;Doenças do aparelho digestivo;15.49;1061;2.14
2020;Quarto;Região de Saúde LVT;Unidade Local de Saúde da Arrábida, E.P.E.;4;Doenças endócrinas, nutricionais e metabólicas;2.15;781;3.8
2020;Quarto;Região de Saúde LVT;Unidade Local de Saúde da Arrábida, E.P.E.;7;Doenças do olho e anexos;0.87;121;0.0
2020;Quarto;Região de Saúde LVT;Unidade Local de Saúde da Arrábida, E.P.E.;15;Gravidez, parto e puerpério;9.93;1111;0.0
2020;Quarto;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, E.P.E.;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.76;401;7.69
2020;Quarto;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, E.P.E.;4;Doenças endócrinas, nutricionais e metabólicas;2.42;677;13.25
2020;Quarto;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, E.P.E.;8;Doenças do ouvido e da apófise mastóide;0.06;19;0.0
2020;Quarto;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, E.P.E.;9;Doenças do aparelho circulatório;15.54;5293;11.47
2020;Quarto;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, E.P.E.;10;Doenças do aparelho respiratório;8.62;3208;25.76
2020;Quarto;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, E.P.E.;17;Malformações congénitas, deformações e anomalias cromossómicas;0.06;17;0.0
2020;Quarto;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, E.P.E.;19;Lesões, envenenamento e algumas outras consequências de causas externas;8.97;3306;6.51
2020;Quarto;Região de Saúde LVT;Unidade Local de Saúde de Almada / Seixal, E.P.E.;2;Neoplasias;7.85;3974;11.17
2020;Quarto;Região de Saúde LVT;Unidade Local de Saúde de Almada / Seixal, E.P.E.;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.55;219;10.71
2020;Quarto;Região de Saúde LVT;Unidade Local de Saúde de Almada / Seixal, E.P.E.;7;Doenças do olho e anexos;0.92;248;0.0
2020;Quarto;Região de Saúde LVT;Unidade Local de Saúde de Almada / Seixal, E.P.E.;9;Doenças do aparelho circulatório;15.52;8642;12.05
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde do Alto Ave, E.P.E.;15;Gravidez, parto e puerpério;10.02;1323;0.0
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;1;Algumas doenças infecciosas e parasitárias;2.78;1438;24.3
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;15;Gravidez, parto e puerpério;10.37;1333;0.0
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde do Médio Ave, E.P.E.;2;Neoplasias;5.73;1142;13.97
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde do Médio Ave, E.P.E.;10;Doenças do aparelho respiratório;10.99;2608;21.46
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde do Médio Ave, E.P.E.;14;Doenças do aparelho geniturinário;3.49;1653;8.43
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Entre Douro e Vouga, E.P.E.;8;Doenças do ouvido e da apófise mastóide;0.6;47;0.0
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Entre Douro e Vouga, E.P.E.;17;Malformações congénitas, deformações e anomalias cromossómicas;0.08;10;0.0
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Gaia / Espinho, E.P.E.;9;Doenças do aparelho circulatório;17.32;6801;10.25
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Gaia / Espinho, E.P.E.;11;Doenças do aparelho digestivo;8.66;2210;6.17
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Gaia / Espinho, E.P.E.;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;3.1;737;0.69
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Gaia / Espinho, E.P.E.;14;Doenças do aparelho geniturinário;7.1;2800;6.02
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Gaia / Espinho, E.P.E.;19;Lesões, envenenamento e algumas outras consequências de causas externas;9.13;3722;5.62
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Gaia / Espinho, E.P.E.;22;Códigos para fins especiais;4.94;3042;31.6
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;0.25;60;14.29
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;9;Doenças do aparelho circulatório;12.48;3413;10.45
2020;Segundo;Região de Saúde do Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;11;Doenças do aparelho digestivo;8.57;2256;6.17
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.;9;Doenças do aparelho circulatório;15.48;7180;7.86
