freq;freq_label;unit;unit_label;wstatus;wstatus_label;nace_r2;nace_r2_label;geo;geo_label;time;time_label;value
A;Annual;THS;Thousand;SELF;Self-employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT1;Continente;1995;1995;0.19
A;Annual;THS;Thousand;EMP;Employed persons;O-Q;Public administration, defence, education, human health and social work activities;PT1;Continente;1995;1995;0.21
A;Annual;THS;Thousand;SAL;Employees;O-Q;Public administration, defence, education, human health and social work activities;PT1;Continente;1995;1995;0.21
A;Annual;THS;Thousand;SELF;Self-employed persons;O-Q;Public administration, defence, education, human health and social work activities;PT1;Continente;1995;1995;0.23
A;Annual;THS;Thousand;EMP;Employed persons;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT1;Continente;1995;1995;0.24
A;Annual;THS;Thousand;SAL;Employees;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT1;Continente;1995;1995;0.23
A;Annual;THS;Thousand;SELF;Self-employed persons;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT1;Continente;1995;1995;0.23
A;Annual;THS;Thousand;EMP;Employed persons;TOTAL;Total - all NACE activities;PT11;Norte;1995;1995;0.24
A;Annual;THS;Thousand;SAL;Employees;TOTAL;Total - all NACE activities;PT11;Norte;1995;1995;0.24
A;Annual;THS;Thousand;SELF;Self-employed persons;TOTAL;Total - all NACE activities;PT11;Norte;1995;1995;0.26
A;Annual;THS;Thousand;EMP;Employed persons;A;Agriculture, forestry and fishing;PT11;Norte;1995;1995;0.26
A;Annual;THS;Thousand;SAL;Employees;A;Agriculture, forestry and fishing;PT11;Norte;1995;1995;0.25
A;Annual;THS;Thousand;SELF;Self-employed persons;A;Agriculture, forestry and fishing;PT11;Norte;1995;1995;0.23
A;Annual;THS;Thousand;EMP;Employed persons;B-E;Industry (except construction);PT11;Norte;1995;1995;0.24
A;Annual;THS;Thousand;SAL;Employees;B-E;Industry (except construction);PT11;Norte;1995;1995;0.24
A;Annual;THS;Thousand;SELF;Self-employed persons;B-E;Industry (except construction);PT11;Norte;1995;1995;0.26
A;Annual;THS;Thousand;EMP;Employed persons;C;Manufacturing;PT11;Norte;1995;1995;0.26
A;Annual;THS;Thousand;SAL;Employees;C;Manufacturing;PT11;Norte;1995;1995;0.25
A;Annual;THS;Thousand;SELF;Self-employed persons;C;Manufacturing;PT11;Norte;1995;1995;0.25
A;Annual;THS;Thousand;EMP;Employed persons;F;Construction;PT11;Norte;1995;1995;0.25
A;Annual;THS;Thousand;SAL;Employees;F;Construction;PT11;Norte;1995;1995;0.25
A;Annual;THS;Thousand;SELF;Self-employed persons;F;Construction;PT11;Norte;1995;1995;0.24
A;Annual;THS;Thousand;EMP;Employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT11;Norte;1995;1995;0.22
A;Annual;THS;Thousand;SAL;Employees;J;Information and communication;PT11;Norte;1995;1995;0.09
A;Annual;THS;Thousand;SELF;Self-employed persons;J;Information and communication;PT11;Norte;1995;1995;0.07
A;Annual;THS;Thousand;EMP;Employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT11;Norte;1995;1995;0.07
A;Annual;THS;Thousand;SAL;Employees;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT11;Norte;1995;1995;0.06
A;Annual;THS;Thousand;SELF;Self-employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT11;Norte;1995;1995;0.08
A;Annual;THS;Thousand;EMP;Employed persons;K;Financial and insurance activities;PT11;Norte;1995;1995;0.07
A;Annual;THS;Thousand;SAL;Employees;K;Financial and insurance activities;PT11;Norte;1995;1995;0.06
A;Annual;THS;Thousand;SELF;Self-employed persons;K;Financial and insurance activities;PT11;Norte;1995;1995;0.06
A;Annual;THS;Thousand;EMP;Employed persons;L;Real estate activities;PT11;Norte;1995;1995;0.06
A;Annual;THS;Thousand;SAL;Employees;L;Real estate activities;PT11;Norte;1995;1995;0.06
A;Annual;THS;Thousand;SELF;Self-employed persons;L;Real estate activities;PT11;Norte;1995;1995;0.06
A;Annual;THS;Thousand;EMP;Employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT11;Norte;1995;1995;0.07
