freq;freq_label;indic_de;indic_de_label;unit;unit_label;geo;geo_label;time;time_label;value
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT16H;Beira Baixa (NUTS 2021);2015;2015;29.9
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT16H;Beira Baixa (NUTS 2021);2015;2015;28.7
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT16H;Beira Baixa (NUTS 2021);2015;2015;28.7
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT16I;Médio Tejo (NUTS 2021);2015;2015;28.9
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT16I;Médio Tejo (NUTS 2021);2015;2015;29.5
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT16I;Médio Tejo (NUTS 2021);2015;2015;29.2
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT16I;Médio Tejo (NUTS 2021);2015;2015;29.3
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT16I;Médio Tejo (NUTS 2021);2015;2015;29.8
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT16J;Beiras e Serra da Estrela (NUTS 2021);2015;2015;29.7
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT16J;Beiras e Serra da Estrela (NUTS 2021);2015;2015;30.1
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT16J;Beiras e Serra da Estrela (NUTS 2021);2015;2015;30.0
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT16J;Beiras e Serra da Estrela (NUTS 2021);2015;2015;29.6
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT16J;Beiras e Serra da Estrela (NUTS 2021);2015;2015;30.0
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT16J;Beiras e Serra da Estrela (NUTS 2021);2015;2015;30.1
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT17;Área Metropolitana de Lisboa (NUTS 2021);2015;2015;30.5
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT17;Área Metropolitana de Lisboa (NUTS 2021);2015;2015;30.3
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT17;Área Metropolitana de Lisboa (NUTS 2021);2015;2015;30.5
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT17;Área Metropolitana de Lisboa (NUTS 2021);2015;2015;30.5
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT17;Área Metropolitana de Lisboa (NUTS 2021);2015;2015;30.7
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT170;Área Metropolitana de Lisboa (NUTS 2021);2015;2015;30.6
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT170;Área Metropolitana de Lisboa (NUTS 2021);2015;2015;30.8
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT170;Área Metropolitana de Lisboa (NUTS 2021);2015;2015;31.4
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT170;Área Metropolitana de Lisboa (NUTS 2021);2015;2015;31.5
