freq;freq_label;currency;currency_label;estruct;estruct_label;ecase;ecase_label;geo;geo_label;time;time_label;value
A;Annual;EUR;Euro;SOC;Social Security;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;53110.02
A;Annual;PPS;Purchasing Power Standard;SOC;Social Security;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;53324.23
A;Annual;NAC;National currency;SOC;Social Security;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;56536.17
A;Annual;EUR;Euro;FAM;Family allowances;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;14578.84
A;Annual;PPS;Purchasing Power Standard;FAM;Family allowances;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;14821.21
A;Annual;NAC;National currency;FAM;Family allowances;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;16370.67
A;Annual;EUR;Euro;NET;Net earning;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;18158.75
A;Annual;PPS;Purchasing Power Standard;NET;Net earning;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;20240.78
A;Annual;NAC;National currency;NET;Net earning;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;20775.92
A;Annual;EUR;Euro;TOTAL;Total;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;22462.5
A;Annual;PPS;Purchasing Power Standard;TOTAL;Total;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;22589.91
A;Annual;NAC;National currency;TOTAL;Total;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;22509.68
A;Annual;EUR;Euro;GRS;Gross earning;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;23188.28
A;Annual;PPS;Purchasing Power Standard;GRS;Gross earning;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;22798.49
A;Annual;NAC;National currency;GRS;Gross earning;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;22628.83
A;Annual;EUR;Euro;TAX;Taxes;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;22054.66
A;Annual;PPS;Purchasing Power Standard;TAX;Taxes;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;19254.62
A;Annual;NAC;National currency;TAX;Taxes;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;19281.46
A;Annual;EUR;Euro;SOC;Social Security;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;18350.76
A;Annual;PPS;Purchasing Power Standard;SOC;Social Security;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;18002.58
A;Annual;NAC;National currency;SOC;Social Security;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;17919.9
A;Annual;EUR;Euro;FAM;Family allowances;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;18710.36
A;Annual;PPS;Purchasing Power Standard;FAM;Family allowances;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;19006.41
A;Annual;NAC;National currency;FAM;Family allowances;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;18969.87
A;Annual;EUR;Euro;NET;Net earning;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;18483.16
A;Annual;PPS;Purchasing Power Standard;NET;Net earning;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;20206.15
A;Annual;NAC;National currency;NET;Net earning;P1_NCH_AW125;Single person without children earning 125% of the average earning;PT;Portugal;2000;2000;21728.57
A;Annual;EUR;Euro;TOTAL;Total;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;22661.66
A;Annual;PPS;Purchasing Power Standard;TOTAL;Total;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;15154.52
A;Annual;NAC;National currency;TOTAL;Total;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;15679.74
A;Annual;EUR;Euro;GRS;Gross earning;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;16276.05
A;Annual;PPS;Purchasing Power Standard;GRS;Gross earning;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;16962.0
A;Annual;NAC;National currency;GRS;Gross earning;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;17540.1
A;Annual;EUR;Euro;TAX;Taxes;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;18039.67
A;Annual;PPS;Purchasing Power Standard;TAX;Taxes;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;18522.27
A;Annual;NAC;National currency;TAX;Taxes;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;19174.76
