freq;freq_label;unit;unit_label;sector;sector_label;na_item;na_item_label;geo;geo_label;time;time_label;value
A;Annual;MIO_NAC;Million units of national currency;S13;General government;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;2344715.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S13;General government;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;2466843.0
A;Annual;MIO_EUR;Million euro;S1311;Central government;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;2578868.0
A;Annual;MIO_NAC;Million units of national currency;S1311;Central government;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;2613998.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1311;Central government;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;2549922.0
A;Annual;MIO_EUR;Million euro;S1312;State government;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;2667780.0
A;Annual;MIO_NAC;Million units of national currency;S1312;State government;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;2817570.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1312;State government;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;2866925.0
A;Annual;MIO_EUR;Million euro;S1313;Local government;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;2933815.0
A;Annual;MIO_NAC;Million units of national currency;S1313;Local government;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;3047117.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1313;Local government;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;3147913.0
A;Annual;MIO_EUR;Million euro;S1314;Social security funds;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;3286883.0
A;Annual;MIO_NAC;Million units of national currency;S1314;Social security funds;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;3417850.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1314;Social security funds;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;3569102.0
A;Annual;MIO_EUR;Million euro;S1;Total economy;GD;Government consolidated gross debt;PT;Portugal;1995;1995;3668219.0
A;Annual;MIO_NAC;Million units of national currency;S1;Total economy;GD;Government consolidated gross debt;PT;Portugal;1995;1995;3538386.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1;Total economy;GD;Government consolidated gross debt;PT;Portugal;1995;1995;3805472.0
A;Annual;MIO_EUR;Million euro;S13;General government;GD;Government consolidated gross debt;PT;Portugal;1995;1995;4108628.0
A;Annual;MIO_NAC;Million units of national currency;S13;General government;GD;Government consolidated gross debt;PT;Portugal;1995;1995;4355986.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S13;General government;GD;Government consolidated gross debt;PT;Portugal;1995;1995;4478101.0
A;Annual;MIO_EUR;Million euro;S1311;Central government;GD;Government consolidated gross debt;PT;Portugal;1995;1995;2988.5
A;Annual;MIO_NAC;Million units of national currency;S1311;Central government;GD;Government consolidated gross debt;PT;Portugal;1995;1995;3768.2
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1311;Central government;GD;Government consolidated gross debt;PT;Portugal;1995;1995;4421.9
A;Annual;MIO_EUR;Million euro;S1312;State government;GD;Government consolidated gross debt;PT;Portugal;1995;1995;4991.0
A;Annual;MIO_NAC;Million units of national currency;S1312;State government;GD;Government consolidated gross debt;PT;Portugal;1995;1995;5307.6
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1312;State government;GD;Government consolidated gross debt;PT;Portugal;1995;1995;5945.2
A;Annual;MIO_EUR;Million euro;S1313;Local government;GD;Government consolidated gross debt;PT;Portugal;1995;1995;6666.2
A;Annual;MIO_NAC;Million units of national currency;S1313;Local government;GD;Government consolidated gross debt;PT;Portugal;1995;1995;7477.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1313;Local government;GD;Government consolidated gross debt;PT;Portugal;1995;1995;8284.6
A;Annual;MIO_EUR;Million euro;S1314;Social security funds;GD;Government consolidated gross debt;PT;Portugal;1995;1995;9311.4
A;Annual;MIO_NAC;Million units of national currency;S1314;Social security funds;GD;Government consolidated gross debt;PT;Portugal;1995;1995;10924.8
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1314;Social security funds;GD;Government consolidated gross debt;PT;Portugal;1995;1995;12902.4
A;Annual;MIO_EUR;Million euro;S1;Total economy;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;15340.3
A;Annual;MIO_NAC;Million units of national currency;S1;Total economy;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;15750.4
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1;Total economy;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;13702.1
A;Annual;MIO_EUR;Million euro;S13;General government;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;13949.3
A;Annual;MIO_NAC;Million units of national currency;S13;General government;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;15890.3
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S13;General government;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;17343.9
A;Annual;MIO_EUR;Million euro;S1311;Central government;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;18705.2
A;Annual;MIO_NAC;Million units of national currency;S1311;Central government;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;19813.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1311;Central government;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;20565.4
A;Annual;MIO_EUR;Million euro;S1312;State government;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;21726.4
A;Annual;MIO_NAC;Million units of national currency;S1312;State government;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;23753.5
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1312;State government;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;25902.7
A;Annual;MIO_EUR;Million euro;S1313;Local government;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;27920.8
A;Annual;MIO_NAC;Million units of national currency;S1313;Local government;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;27463.9
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1313;Local government;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;30724.0
A;Annual;MIO_EUR;Million euro;S1314;Social security funds;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;35581.3
A;Annual;MIO_NAC;Million units of national currency;S1314;Social security funds;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;37335.7
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1314;Social security funds;IGL_F4_EA19;Intergovernmental lending within EA19 (2015-2022);PT;Portugal;1995;1995;39046.0
A;Annual;MIO_EUR;Million euro;S1;Total economy;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1;Total economy;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1;Total economy;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S13;General government;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S13;General government;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S13;General government;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1311;Central government;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1311;Central government;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
