freq;freq_label;unit;unit_label;na_item;na_item_label;geo;geo_label;time;time_label;value
A;Annual;CLV10_EUR_HAB;Chain linked volumes (2010), euro per capita;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;91.3
A;Annual;CLV_PCH_PRE_HAB;Chain linked volumes, percentage change on previous period, per capita;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;93.8
A;Annual;PC_EU27_2020_HAB_MEUR_CP;Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;95.3
A;Annual;PC_EU27_2020_HAB_MPPS_CP;Percentage of EU27 (from 2020) total per capita (based on million purchasing power standards, EU27 from 2020), current prices;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;96.8
A;Annual;CP_EUR_HAB;Current prices, euro per capita;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;97.6
A;Annual;CP_NAC_HAB;Current prices, units of national currency per capita;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;96.5
A;Annual;CP_PPS_EU27_2020_HAB;Current prices, purchasing power standard (PPS, EU27 from 2020) per capita;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;95.1
A;Annual;CLV_I20_HAB;Chain linked volumes, Index 2020=100, per capita;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;93.6
A;Annual;CLV_I15_HAB;Chain linked volumes, Index 2015=100, per capita;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;91.0
A;Annual;CLV_I10_HAB;Chain linked volumes, Index 2010=100, per capita;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;87.9
A;Annual;CLV20_EUR_HAB;Chain linked volumes (2020), euro per capita;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;86.0
A;Annual;CLV15_EUR_HAB;Chain linked volumes (2015), euro per capita;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;86.3
A;Annual;CLV10_EUR_HAB;Chain linked volumes (2010), euro per capita;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;87.1
A;Annual;CLV_PCH_PRE_HAB;Chain linked volumes, percentage change on previous period, per capita;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;87.2
A;Annual;PC_EU27_2020_HAB_MEUR_CP;Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;87.4
A;Annual;PC_EU27_2020_HAB_MPPS_CP;Percentage of EU27 (from 2020) total per capita (based on million purchasing power standards, EU27 from 2020), current prices;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;87.2
A;Annual;CP_EUR_HAB;Current prices, euro per capita;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;86.4
A;Annual;CP_NAC_HAB;Current prices, units of national currency per capita;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;82.0
A;Annual;CP_PPS_EU27_2020_HAB;Current prices, purchasing power standard (PPS, EU27 from 2020) per capita;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;82.8
A;Annual;CLV_I20_HAB;Chain linked volumes, Index 2020=100, per capita;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;82.4
A;Annual;CLV_I15_HAB;Chain linked volumes, Index 2015=100, per capita;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;82.1
A;Annual;CLV_I10_HAB;Chain linked volumes, Index 2010=100, per capita;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;82.3
A;Annual;CLV20_EUR_HAB;Chain linked volumes (2020), euro per capita;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CLV15_EUR_HAB;Chain linked volumes (2015), euro per capita;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CLV10_EUR_HAB;Chain linked volumes (2010), euro per capita;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CLV_PCH_PRE_HAB;Chain linked volumes, percentage change on previous period, per capita;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;PC_EU27_2020_HAB_MEUR_CP;Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;PC_EU27_2020_HAB_MPPS_CP;Percentage of EU27 (from 2020) total per capita (based on million purchasing power standards, EU27 from 2020), current prices;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CP_EUR_HAB;Current prices, euro per capita;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CP_NAC_HAB;Current prices, units of national currency per capita;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CP_PPS_EU27_2020_HAB;Current prices, purchasing power standard (PPS, EU27 from 2020) per capita;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CLV_I20_HAB;Chain linked volumes, Index 2020=100, per capita;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CLV_I15_HAB;Chain linked volumes, Index 2015=100, per capita;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CLV_I10_HAB;Chain linked volumes, Index 2010=100, per capita;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CLV20_EUR_HAB;Chain linked volumes (2020), euro per capita;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CLV15_EUR_HAB;Chain linked volumes (2015), euro per capita;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CLV10_EUR_HAB;Chain linked volumes (2010), euro per capita;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CLV_PCH_PRE_HAB;Chain linked volumes, percentage change on previous period, per capita;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;PC_EU27_2020_HAB_MEUR_CP;Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices;B1GQ;Gross domestic product at market prices;PT;Portugal;1976;1976;
A;Annual;PC_EU27_2020_HAB_MPPS_CP;Percentage of EU27 (from 2020) total per capita (based on million purchasing power standards, EU27 from 2020), current prices;B1GQ;Gross domestic product at market prices;PT;Portugal;1976;1976;
A;Annual;CP_EUR_HAB;Current prices, euro per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1976;1976;
A;Annual;CP_NAC_HAB;Current prices, units of national currency per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1976;1976;
A;Annual;CP_PPS_EU27_2020_HAB;Current prices, purchasing power standard (PPS, EU27 from 2020) per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1976;1976;
A;Annual;CLV_I20_HAB;Chain linked volumes, Index 2020=100, per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1976;1976;
A;Annual;CLV_I15_HAB;Chain linked volumes, Index 2015=100, per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1976;1976;
A;Annual;CLV_I10_HAB;Chain linked volumes, Index 2010=100, per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1976;1976;
A;Annual;CLV20_EUR_HAB;Chain linked volumes (2020), euro per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1976;1976;
A;Annual;CLV15_EUR_HAB;Chain linked volumes (2015), euro per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1976;1976;
A;Annual;CLV10_EUR_HAB;Chain linked volumes (2010), euro per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1976;1976;8.1
A;Annual;CLV_PCH_PRE_HAB;Chain linked volumes, percentage change on previous period, per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1976;1976;10.3
A;Annual;PC_EU27_2020_HAB_MEUR_CP;Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices;P3;Final consumption expenditure;PT;Portugal;1976;1976;15.2
A;Annual;PC_EU27_2020_HAB_MPPS_CP;Percentage of EU27 (from 2020) total per capita (based on million purchasing power standards, EU27 from 2020), current prices;P3;Final consumption expenditure;PT;Portugal;1976;1976;18.4
A;Annual;CP_EUR_HAB;Current prices, euro per capita;P3;Final consumption expenditure;PT;Portugal;1976;1976;19.3
A;Annual;CP_NAC_HAB;Current prices, units of national currency per capita;P3;Final consumption expenditure;PT;Portugal;1976;1976;18.1
A;Annual;CP_PPS_EU27_2020_HAB;Current prices, purchasing power standard (PPS, EU27 from 2020) per capita;P3;Final consumption expenditure;PT;Portugal;1976;1976;18.6
A;Annual;CLV_I20_HAB;Chain linked volumes, Index 2020=100, per capita;P3;Final consumption expenditure;PT;Portugal;1976;1976;19.8
A;Annual;CLV_I15_HAB;Chain linked volumes, Index 2015=100, per capita;P3;Final consumption expenditure;PT;Portugal;1976;1976;20.0
A;Annual;CLV_I10_HAB;Chain linked volumes, Index 2010=100, per capita;P3;Final consumption expenditure;PT;Portugal;1976;1976;21.0
A;Annual;CLV20_EUR_HAB;Chain linked volumes (2020), euro per capita;P3;Final consumption expenditure;PT;Portugal;1976;1976;23.5
A;Annual;CLV15_EUR_HAB;Chain linked volumes (2015), euro per capita;P3;Final consumption expenditure;PT;Portugal;1976;1976;26.2
A;Annual;CLV10_EUR_HAB;Chain linked volumes (2010), euro per capita;P3;Final consumption expenditure;PT;Portugal;1976;1976;28.3
A;Annual;CLV_PCH_PRE_HAB;Chain linked volumes, percentage change on previous period, per capita;P3;Final consumption expenditure;PT;Portugal;1976;1976;33.7
A;Annual;PC_EU27_2020_HAB_MEUR_CP;Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices;P3_S13;Final consumption expenditure of general government;PT;Portugal;1976;1976;33.1
A;Annual;PC_EU27_2020_HAB_MPPS_CP;Percentage of EU27 (from 2020) total per capita (based on million purchasing power standards, EU27 from 2020), current prices;P3_S13;Final consumption expenditure of general government;PT;Portugal;1976;1976;31.0
A;Annual;CP_EUR_HAB;Current prices, euro per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1976;1976;32.7
A;Annual;CP_NAC_HAB;Current prices, units of national currency per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1976;1976;32.6
A;Annual;CP_PPS_EU27_2020_HAB;Current prices, purchasing power standard (PPS, EU27 from 2020) per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1976;1976;32.5
A;Annual;CLV_I20_HAB;Chain linked volumes, Index 2020=100, per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1976;1976;32.9
A;Annual;CLV_I15_HAB;Chain linked volumes, Index 2015=100, per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1976;1976;34.8
A;Annual;CLV_I10_HAB;Chain linked volumes, Index 2010=100, per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1976;1976;35.6
A;Annual;CLV20_EUR_HAB;Chain linked volumes (2020), euro per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1976;1976;36.9
A;Annual;CLV15_EUR_HAB;Chain linked volumes (2015), euro per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1976;1976;39.5
A;Annual;CLV10_EUR_HAB;Chain linked volumes (2010), euro per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1976;1976;42.4
A;Annual;CLV_PCH_PRE_HAB;Chain linked volumes, percentage change on previous period, per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1976;1976;45.9
A;Annual;PC_EU27_2020_HAB_MEUR_CP;Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1976;1976;47.1
A;Annual;PC_EU27_2020_HAB_MPPS_CP;Percentage of EU27 (from 2020) total per capita (based on million purchasing power standards, EU27 from 2020), current prices;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1976;1976;50.6
A;Annual;CP_EUR_HAB;Current prices, euro per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1976;1976;54.7
A;Annual;CP_NAC_HAB;Current prices, units of national currency per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1976;1976;59.1
A;Annual;CP_PPS_EU27_2020_HAB;Current prices, purchasing power standard (PPS, EU27 from 2020) per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1976;1976;
A;Annual;CLV_I20_HAB;Chain linked volumes, Index 2020=100, per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1976;1976;
A;Annual;CLV_I15_HAB;Chain linked volumes, Index 2015=100, per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1976;1976;
A;Annual;CLV_I10_HAB;Chain linked volumes, Index 2010=100, per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1976;1976;
A;Annual;CLV20_EUR_HAB;Chain linked volumes (2020), euro per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1976;1976;
A;Annual;CLV15_EUR_HAB;Chain linked volumes (2015), euro per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1976;1976;
A;Annual;CLV10_EUR_HAB;Chain linked volumes (2010), euro per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1976;1976;
A;Annual;CLV_PCH_PRE_HAB;Chain linked volumes, percentage change on previous period, per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1976;1976;
