freq;freq_label;unit;unit_label;icha11_hc;icha11_hc_label;geo;geo_label;time;time_label;value
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC13;Outpatient curative care;PT;Portugal;1992;1992;1629.64
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC13;Outpatient curative care;PT;Portugal;1992;1992;1467.64
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC13;Outpatient curative care;PT;Portugal;1992;1992;1693.3
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC13;Outpatient curative care;PT;Portugal;1992;1992;1728.18
A;Annual;MIO_EUR;Million euro;HC131;General outpatient curative care;PT;Portugal;1992;1992;1706.25
A;Annual;EUR_HAB;Euro per inhabitant;HC131;General outpatient curative care;PT;Portugal;1992;1992;1754.69
A;Annual;MIO_NAC;Million units of national currency;HC131;General outpatient curative care;PT;Portugal;1992;1992;1739.99
A;Annual;NAC_HAB;National currency per inhabitant;HC131;General outpatient curative care;PT;Portugal;1992;1992;1771.04
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC131;General outpatient curative care;PT;Portugal;1992;1992;1829.3
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC131;General outpatient curative care;PT;Portugal;1992;1992;1914.26
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC131;General outpatient curative care;PT;Portugal;1992;1992;1993.92
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC131;General outpatient curative care;PT;Portugal;1992;1992;2079.97
A;Annual;MIO_EUR;Million euro;HC132;Dental outpatient curative care;PT;Portugal;1992;1992;2189.45
A;Annual;EUR_HAB;Euro per inhabitant;HC132;Dental outpatient curative care;PT;Portugal;1992;1992;2566.07
A;Annual;MIO_NAC;Million units of national currency;HC132;Dental outpatient curative care;PT;Portugal;1992;1992;2731.66
A;Annual;NAC_HAB;National currency per inhabitant;HC132;Dental outpatient curative care;PT;Portugal;1992;1992;2981.83
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC132;Dental outpatient curative care;PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC132;Dental outpatient curative care;PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC132;Dental outpatient curative care;PT;Portugal;1992;1992;
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC132;Dental outpatient curative care;PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;HC133;Specialised outpatient curative care;PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HC133;Specialised outpatient curative care;PT;Portugal;1992;1992;
A;Annual;MIO_NAC;Million units of national currency;HC133;Specialised outpatient curative care;PT;Portugal;1992;1992;
A;Annual;NAC_HAB;National currency per inhabitant;HC133;Specialised outpatient curative care;PT;Portugal;1992;1992;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC133;Specialised outpatient curative care;PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC133;Specialised outpatient curative care;PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC133;Specialised outpatient curative care;PT;Portugal;1992;1992;
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC133;Specialised outpatient curative care;PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;HC139;All other outpatient curative care n.e.c.;PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HC139;All other outpatient curative care n.e.c.;PT;Portugal;1992;1992;
A;Annual;MIO_NAC;Million units of national currency;HC139;All other outpatient curative care n.e.c.;PT;Portugal;1992;1992;
A;Annual;NAC_HAB;National currency per inhabitant;HC139;All other outpatient curative care n.e.c.;PT;Portugal;1992;1992;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC139;All other outpatient curative care n.e.c.;PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC139;All other outpatient curative care n.e.c.;PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC139;All other outpatient curative care n.e.c.;PT;Portugal;1992;1992;
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC139;All other outpatient curative care n.e.c.;PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;HC14_24;Home-based curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HC14_24;Home-based curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;MIO_NAC;Million units of national currency;HC14_24;Home-based curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;NAC_HAB;National currency per inhabitant;HC14_24;Home-based curative and rehabilitative care;PT;Portugal;1992;1992;126.81
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC14_24;Home-based curative and rehabilitative care;PT;Portugal;1992;1992;143.49
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC14_24;Home-based curative and rehabilitative care;PT;Portugal;1992;1992;154.25
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC14_24;Home-based curative and rehabilitative care;PT;Portugal;1992;1992;183.94
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC14_24;Home-based curative and rehabilitative care;PT;Portugal;1992;1992;200.01
A;Annual;MIO_EUR;Million euro;HC14;Home-based curative care;PT;Portugal;1992;1992;275.83
A;Annual;EUR_HAB;Euro per inhabitant;HC14;Home-based curative care;PT;Portugal;1992;1992;268.4
A;Annual;MIO_NAC;Million units of national currency;HC14;Home-based curative care;PT;Portugal;1992;1992;323.75
A;Annual;NAC_HAB;National currency per inhabitant;HC14;Home-based curative care;PT;Portugal;1992;1992;355.79
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC14;Home-based curative care;PT;Portugal;1992;1992;381.69
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC14;Home-based curative care;PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC14;Home-based curative care;PT;Portugal;1992;1992;
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC14;Home-based curative care;PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;HC2;Rehabilitative care;PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HC2;Rehabilitative care;PT;Portugal;1992;1992;
A;Annual;MIO_NAC;Million units of national currency;HC2;Rehabilitative care;PT;Portugal;1992;1992;
A;Annual;NAC_HAB;National currency per inhabitant;HC2;Rehabilitative care;PT;Portugal;1992;1992;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC2;Rehabilitative care;PT;Portugal;1992;1992;5665.98
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC2;Rehabilitative care;PT;Portugal;1992;1992;6422.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC2;Rehabilitative care;PT;Portugal;1992;1992;6929.0
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC2;Rehabilitative care;PT;Portugal;1992;1992;7930.0
A;Annual;MIO_EUR;Million euro;HC21;Inpatient rehabilitative care;PT;Portugal;1992;1992;9107.0
A;Annual;EUR_HAB;Euro per inhabitant;HC21;Inpatient rehabilitative care;PT;Portugal;1992;1992;9968.0
A;Annual;MIO_NAC;Million units of national currency;HC21;Inpatient rehabilitative care;PT;Portugal;1992;1992;10728.0
A;Annual;NAC_HAB;National currency per inhabitant;HC21;Inpatient rehabilitative care;PT;Portugal;1992;1992;11156.0
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC21;Inpatient rehabilitative care;PT;Portugal;1992;1992;11997.0
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC21;Inpatient rehabilitative care;PT;Portugal;1992;1992;12811.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC21;Inpatient rehabilitative care;PT;Portugal;1992;1992;13510.0
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC21;Inpatient rehabilitative care;PT;Portugal;1992;1992;14317.0
A;Annual;MIO_EUR;Million euro;HC22;Day rehabilitative care;PT;Portugal;1992;1992;14938.0
A;Annual;EUR_HAB;Euro per inhabitant;HC22;Day rehabilitative care;PT;Portugal;1992;1992;15590.0
A;Annual;MIO_NAC;Million units of national currency;HC22;Day rehabilitative care;PT;Portugal;1992;1992;15800.0
A;Annual;NAC_HAB;National currency per inhabitant;HC22;Day rehabilitative care;PT;Portugal;1992;1992;16606.0
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC22;Day rehabilitative care;PT;Portugal;1992;1992;17335.0
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC22;Day rehabilitative care;PT;Portugal;1992;1992;18503.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC22;Day rehabilitative care;PT;Portugal;1992;1992;19467.0
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC22;Day rehabilitative care;PT;Portugal;1992;1992;19863.0
A;Annual;MIO_EUR;Million euro;HC23;Outpatient rehabilitative care;PT;Portugal;1992;1992;20805.0
A;Annual;EUR_HAB;Euro per inhabitant;HC23;Outpatient rehabilitative care;PT;Portugal;1992;1992;21951.0
A;Annual;MIO_NAC;Million units of national currency;HC23;Outpatient rehabilitative care;PT;Portugal;1992;1992;22508.0
A;Annual;NAC_HAB;National currency per inhabitant;HC23;Outpatient rehabilitative care;PT;Portugal;1992;1992;28865.0
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC23;Outpatient rehabilitative care;PT;Portugal;1992;1992;30647.0
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC23;Outpatient rehabilitative care;PT;Portugal;1992;1992;33265.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC23;Outpatient rehabilitative care;PT;Portugal;1992;1992;35897.0
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC23;Outpatient rehabilitative care;PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;HC24;Home-based rehabilitative care;PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HC24;Home-based rehabilitative care;PT;Portugal;1992;1992;
A;Annual;MIO_NAC;Million units of national currency;HC24;Home-based rehabilitative care;PT;Portugal;1992;1992;4261.59
A;Annual;NAC_HAB;National currency per inhabitant;HC24;Home-based rehabilitative care;PT;Portugal;1992;1992;4386.31
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC24;Home-based rehabilitative care;PT;Portugal;1992;1992;4369.77
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC24;Home-based rehabilitative care;PT;Portugal;1992;1992;4634.35
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC24;Home-based rehabilitative care;PT;Portugal;1992;1992;4933.2
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC24;Home-based rehabilitative care;PT;Portugal;1992;1992;5070.4
A;Annual;MIO_EUR;Million euro;HC3;Long-term care (health);PT;Portugal;1992;1992;5282.1
A;Annual;EUR_HAB;Euro per inhabitant;HC3;Long-term care (health);PT;Portugal;1992;1992;5433.73
A;Annual;MIO_NAC;Million units of national currency;HC3;Long-term care (health);PT;Portugal;1992;1992;5622.62
A;Annual;NAC_HAB;National currency per inhabitant;HC3;Long-term care (health);PT;Portugal;1992;1992;5913.86
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC3;Long-term care (health);PT;Portugal;1992;1992;6193.64
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC3;Long-term care (health);PT;Portugal;1992;1992;6408.63
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC3;Long-term care (health);PT;Portugal;1992;1992;6835.71
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC3;Long-term care (health);PT;Portugal;1992;1992;7091.15
A;Annual;MIO_EUR;Million euro;HC31;Inpatient long-term care (health);PT;Portugal;1992;1992;7373.09
A;Annual;EUR_HAB;Euro per inhabitant;HC31;Inpatient long-term care (health);PT;Portugal;1992;1992;7601.55
A;Annual;MIO_NAC;Million units of national currency;HC31;Inpatient long-term care (health);PT;Portugal;1992;1992;7842.77
A;Annual;NAC_HAB;National currency per inhabitant;HC31;Inpatient long-term care (health);PT;Portugal;1992;1992;8170.3
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC31;Inpatient long-term care (health);PT;Portugal;1992;1992;8484.5
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC31;Inpatient long-term care (health);PT;Portugal;1992;1992;8881.03
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC31;Inpatient long-term care (health);PT;Portugal;1992;1992;9208.27
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC31;Inpatient long-term care (health);PT;Portugal;1992;1992;9673.22
A;Annual;MIO_EUR;Million euro;HC32;Day long-term care (health);PT;Portugal;1992;1992;10136.13
A;Annual;EUR_HAB;Euro per inhabitant;HC32;Day long-term care (health);PT;Portugal;1992;1992;10780.97
A;Annual;MIO_NAC;Million units of national currency;HC32;Day long-term care (health);PT;Portugal;1992;1992;11547.02
A;Annual;NAC_HAB;National currency per inhabitant;HC32;Day long-term care (health);PT;Portugal;1992;1992;11414.62
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC32;Day long-term care (health);PT;Portugal;1992;1992;12462.73
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC32;Day long-term care (health);PT;Portugal;1992;1992;13174.67
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC32;Day long-term care (health);PT;Portugal;1992;1992;14552.11
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC32;Day long-term care (health);PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;HC33;Outpatient long-term care (health);PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HC33;Outpatient long-term care (health);PT;Portugal;1992;1992;
A;Annual;MIO_NAC;Million units of national currency;HC33;Outpatient long-term care (health);PT;Portugal;1992;1992;
A;Annual;NAC_HAB;National currency per inhabitant;HC33;Outpatient long-term care (health);PT;Portugal;1992;1992;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC33;Outpatient long-term care (health);PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC33;Outpatient long-term care (health);PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC33;Outpatient long-term care (health);PT;Portugal;1992;1992;
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC33;Outpatient long-term care (health);PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;HC34;Home-based long-term care (health);PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HC34;Home-based long-term care (health);PT;Portugal;1992;1992;
A;Annual;MIO_NAC;Million units of national currency;HC34;Home-based long-term care (health);PT;Portugal;1992;1992;
A;Annual;NAC_HAB;National currency per inhabitant;HC34;Home-based long-term care (health);PT;Portugal;1992;1992;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC34;Home-based long-term care (health);PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC34;Home-based long-term care (health);PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC34;Home-based long-term care (health);PT;Portugal;1992;1992;
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC34;Home-based long-term care (health);PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;HC4;Ancillary services (non-specified by function);PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HC4;Ancillary services (non-specified by function);PT;Portugal;1992;1992;
A;Annual;MIO_NAC;Million units of national currency;HC4;Ancillary services (non-specified by function);PT;Portugal;1992;1992;
A;Annual;NAC_HAB;National currency per inhabitant;HC4;Ancillary services (non-specified by function);PT;Portugal;1992;1992;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC4;Ancillary services (non-specified by function);PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC4;Ancillary services (non-specified by function);PT;Portugal;1992;1992;5556.52
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC4;Ancillary services (non-specified by function);PT;Portugal;1992;1992;5762.55
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC4;Ancillary services (non-specified by function);PT;Portugal;1992;1992;6333.72
A;Annual;MIO_EUR;Million euro;HC41;Laboratory services;PT;Portugal;1992;1992;6502.0
A;Annual;EUR_HAB;Euro per inhabitant;HC41;Laboratory services;PT;Portugal;1992;1992;8650.81
A;Annual;MIO_NAC;Million units of national currency;HC41;Laboratory services;PT;Portugal;1992;1992;8656.53
A;Annual;NAC_HAB;National currency per inhabitant;HC41;Laboratory services;PT;Portugal;1992;1992;9068.2
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC41;Laboratory services;PT;Portugal;1992;1992;9092.24
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC41;Laboratory services;PT;Portugal;1992;1992;9698.99
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC41;Laboratory services;PT;Portugal;1992;1992;11459.45
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC41;Laboratory services;PT;Portugal;1992;1992;13817.07
A;Annual;MIO_EUR;Million euro;HC42;Imaging services;PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HC42;Imaging services;PT;Portugal;1992;1992;
A;Annual;MIO_NAC;Million units of national currency;HC42;Imaging services;PT;Portugal;1992;1992;
A;Annual;NAC_HAB;National currency per inhabitant;HC42;Imaging services;PT;Portugal;1992;1992;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC42;Imaging services;PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC42;Imaging services;PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC42;Imaging services;PT;Portugal;1992;1992;
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC42;Imaging services;PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;HC43;Patient transportation;PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HC43;Patient transportation;PT;Portugal;1992;1992;3258.3
A;Annual;MIO_NAC;Million units of national currency;HC43;Patient transportation;PT;Portugal;1992;1992;3618.74
A;Annual;NAC_HAB;National currency per inhabitant;HC43;Patient transportation;PT;Portugal;1992;1992;3849.82
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC43;Patient transportation;PT;Portugal;1992;1992;4178.02
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC43;Patient transportation;PT;Portugal;1992;1992;4674.32
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC43;Patient transportation;PT;Portugal;1992;1992;5001.88
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC43;Patient transportation;PT;Portugal;1992;1992;5186.85
A;Annual;MIO_EUR;Million euro;HC5;Medical goods (non-specified by function);PT;Portugal;1992;1992;5433.46
A;Annual;EUR_HAB;Euro per inhabitant;HC5;Medical goods (non-specified by function);PT;Portugal;1992;1992;5928.41
A;Annual;MIO_NAC;Million units of national currency;HC5;Medical goods (non-specified by function);PT;Portugal;1992;1992;6459.12
