freq;freq_label;unit;unit_label;icha11_hf;icha11_hf_label;geo;geo_label;time;time_label;value
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HF21;Voluntary health insurance schemes;PT;Portugal;1992;1992;3337.0
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HF21;Voluntary health insurance schemes;PT;Portugal;1992;1992;3377.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HF21;Voluntary health insurance schemes;PT;Portugal;1992;1992;3482.0
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HF21;Voluntary health insurance schemes;PT;Portugal;1992;1992;3479.0
A;Annual;MIO_EUR;Million euro;HF22;NPISH financing schemes;PT;Portugal;1992;1992;3565.0
A;Annual;EUR_HAB;Euro per inhabitant;HF22;NPISH financing schemes;PT;Portugal;1992;1992;4437.0
A;Annual;MIO_NAC;Million units of national currency;HF22;NPISH financing schemes;PT;Portugal;1992;1992;4599.0
A;Annual;NAC_HAB;National currency per inhabitant;HF22;NPISH financing schemes;PT;Portugal;1992;1992;4600.0
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HF22;NPISH financing schemes;PT;Portugal;1992;1992;4943.0
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HF22;NPISH financing schemes;PT;Portugal;1992;1992;5393.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HF22;NPISH financing schemes;PT;Portugal;1992;1992;9847.0
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HF22;NPISH financing schemes;PT;Portugal;1992;1992;13342.0
A;Annual;MIO_EUR;Million euro;HF23;Enterprise financing schemes;PT;Portugal;1992;1992;9982.0
A;Annual;EUR_HAB;Euro per inhabitant;HF23;Enterprise financing schemes;PT;Portugal;1992;1992;8492.0
A;Annual;MIO_NAC;Million units of national currency;HF23;Enterprise financing schemes;PT;Portugal;1992;1992;9113.0
A;Annual;NAC_HAB;National currency per inhabitant;HF23;Enterprise financing schemes;PT;Portugal;1992;1992;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HF23;Enterprise financing schemes;PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HF23;Enterprise financing schemes;PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HF23;Enterprise financing schemes;PT;Portugal;1992;1992;5134.98
