tempo;regiao;instituicao;localizacao_geografica;prazo_medio_de_pagamento
2021-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;110
2021-06;Serviços Centrais;Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa;38.7643827, -9.1663422;42
2021-09;Região de Saúde Norte;Administração Regional de Saúde do Norte;41.1576321, -8.6066408;43
2021-09;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;123
2021-09;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;181
2021-12;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;223
2021-12;Região de Saúde Norte;Centro Hospitalar Vila Nova Gaia/Espinho, EPE;41.1094138, -8.5972617;188
2021-12;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;185
2022-03;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;117
2022-03;Região de Saúde Norte;Administração Regional de Saúde do Norte;41.1576321, -8.6066408;42
2022-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;161
2022-06;Serviços Centrais;Instituto Português Do Sangue e Da Transplantação, IP;38.7567758, -9.1505021;57
2022-06;Região de Saúde LVT;Centro Hospitalar de Lisboa - Zona Ocidental, EPE;38.708454, -9.216985;212
2022-09;Região de Saúde LVT;Hospital de Vila Franca de Xira, EPE;38.9777435, -8.9847644;24
2022-12;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;28
2022-12;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;179
2023-03;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;168
2023-03;Região de Saúde Norte;Hospital da Senhora da Oliveira Guimarães, EPE;41.4387173, -8.3086907;209
2024-03;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, E. P. E.;38.9777435, -8.9847644;65
2024-09;Serviços Centrais;Instituto Português Do Sangue e Da Transplantação, IP;38.7567758, -9.1505021;64
2024-09;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, E. P. E.;39.478072, -8.5404429;68
2024-09;Região de Saúde Norte;UNIDADE LOCAL DE SAÚDE ALTO MINHO, EPE;41.7056054, -8.8252713;89
2024-09;Região de Saúde do Centro;Unidade Local de Saúde da Região de Aveiro, E. P. E.;40.6362453, -8.6543716;48
2024-09;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, E. P. E.;38.9777435, -8.9847644;43
2024-12;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas, E. P. E.;38.8214678, -9.176741;29
2022-12;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;165
2023-03;Serviços Centrais;Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa;38.7643827, -9.1663422;74
2023-06;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, EPE;41.2494561, -8.264901;179
2023-09;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;53
2015-03;Região de Saúde Norte;Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE;41.3828711, -8.7589945;556
2015-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;249
2015-09;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo;38.5658579, -7.9136262;0
2016-09;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015, -8.5933462;15
2017-06;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, EPE;41.2494561, -8.264901;148
