tempo;regiao;entidade;localizacao_geografica;tipologia_de_ausencia;valor
2020-12;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Greve;811
2014-05;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Assistência a familiares;20
2020-12;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Por conta do período de férias;72
2014-05;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Cumprimento de pena disciplinar;0
2020-12;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Assistência a familiares;842
2014-05;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Injustificadas;0
2020-12;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, E.P.E.;38.5684861, -7.9032848;Casamento;151
2014-05;Região de Saúde LVT;Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.;38.7643827, -9.1663422;Injustificadas;0
2020-12;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, E.P.E.;38.5684861, -7.9032848;Protecção na parentalidade;24350
2014-05;Região de Saúde LVT;Instituto Português do Sangue e da Transplantação, I.P.;38.7567758, -9.1505021;Protecção na parentalidade;792
2020-12;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, E.P.E.;38.5684861, -7.9032848;Cumprimento de pena disciplinar;0
2014-05;Região de Saúde LVT;Instituto Português do Sangue e da Transplantação, I.P.;38.7567758, -9.1505021;Falecimento de familiar;48
2020-12;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, E.P.E.;38.5684861, -7.9032848;Injustificadas;413
2014-05;Região de Saúde LVT;Instituto Português do Sangue e da Transplantação, I.P.;38.7567758, -9.1505021;Greve;1
2020-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Casamento;118
2014-05;Região de Saúde Norte;Administração Regional Saúde Norte, I.P.;41.1576361, -8.6066408;Por acidente em serviço ou doença profissional;4376
2020-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Doença;35761
2014-05;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Cumprimento de pena disciplinar;0
2020-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Assistência a familiares;520
2014-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711, -8.7589945;Casamento;30
2020-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Doença;19699
2014-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711, -8.7589945;Doença;2441
