tempo;regiao;entidade;localizacao_geografica;tipologia_de_ausencia;valor
2017-04;Região de Saúde LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946, -8.6937515;Greve;131
2017-04;Região de Saúde LVT;Hospital Garcia de Orta, E.P.E.;38.6658713, -9.1822554;Por conta do período de férias;29
2017-04;Região de Saúde LVT;Hospital Garcia de Orta, E.P.E.;38.6658713, -9.1822554;Com perda do vencimento;21
2017-04;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Doença;10621
2017-04;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Trabalhador-estudante;189
2017-04;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, E.P.E.;38.7396768, -9.1634516;Doença;6176
2017-04;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, E.P.E.;38.7396768, -9.1634516;Greve;179
2017-04;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, E.P.E.;38.7396768, -9.1634516;Outras;724
2017-04;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Por acidente em serviço ou doença profissional;0
2017-04;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Greve;13
2017-04;Região de Saúde LVT;Instituto Nacional de Emergência Médica;38.7313954, -9.1447467;Doença;2915
2017-04;Região de Saúde LVT;Instituto Nacional de Emergência Médica;38.7313954, -9.1447467;Assistência a familiares;62
2017-04;Região de Saúde LVT;Instituto Nacional de Emergência Médica;38.7313954, -9.1447467;Com perda do vencimento;0
2017-04;Região de Saúde LVT;Instituto Nacional de Emergência Médica;38.7313954, -9.1447467;Greve;8
2017-04;Região de Saúde LVT;Instituto Nacional de Emergência Médica;38.7313954, -9.1447467;Injustificadas;-5
2017-04;Região de Saúde LVT;Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.;38.7643827, -9.1663422;Assistência a familiares;52
2017-04;Região de Saúde LVT;Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.;38.7643827, -9.1663422;Trabalhador-estudante;32
2017-04;Região de Saúde LVT;Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.;38.7643827, -9.1663422;Com perda do vencimento;0
2017-04;Região de Saúde LVT;Instituto Português do Sangue e da Transplantação, I.P.;38.7567758, -9.1505021;Doença;1856
2017-04;Região de Saúde LVT;Instituto Português do Sangue e da Transplantação, I.P.;38.7567758, -9.1505021;Com perda do vencimento;0
2017-04;Região de Saúde LVT;Instituto Português do Sangue e da Transplantação, I.P.;38.7567758, -9.1505021;Cumprimento de pena disciplinar;0
2017-04;Região de Saúde LVT;Secretaria-Geral do Ministério da Saúde;38.7362218, -9.1463126;Casamento;0
2017-04;Região de Saúde LVT;Secretaria-Geral do Ministério da Saúde;38.7362218, -9.1463126;Doença;141
2017-04;Região de Saúde LVT;Secretaria-Geral do Ministério da Saúde;38.7362218, -9.1463126;Com perda do vencimento;0
2017-04;Região de Saúde LVT;Secretaria-Geral do Ministério da Saúde;38.7362218, -9.1463126;Cumprimento de pena disciplinar;0
2017-04;Região de Saúde LVT;Serviços Partilhados do Ministério da Saúde, E.P.E.;38.739767, -9.1489431;Casamento;0
2017-04;Região de Saúde LVT;Serviços Partilhados do Ministério da Saúde, E.P.E.;38.739767, -9.1489431;Por acidente em serviço ou doença profissional;3
2017-04;Região de Saúde LVT;Serviços Partilhados do Ministério da Saúde, E.P.E.;38.739767, -9.1489431;Trabalhador-estudante;70
2017-04;Região de Saúde LVT;Serviço de Intervenção Comportamentos Aditivos e Dependências;38.7653399, -9.1611815;Protecção na parentalidade;70
2017-04;Região de Saúde LVT;Serviço de Intervenção Comportamentos Aditivos e Dependências;38.7653399, -9.1611815;Doença;524
2017-04;Região de Saúde LVT;Serviço de Intervenção Comportamentos Aditivos e Dependências;38.7653399, -9.1611815;Com perda do vencimento;3
2017-04;Região de Saúde LVT;Serviço de Intervenção Comportamentos Aditivos e Dependências;38.7653399, -9.1611815;Cumprimento de pena disciplinar;0
2017-04;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Falecimento de familiar;264
2017-04;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Por conta do período de férias;127
2017-04;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711, -8.7589945;Protecção na parentalidade;1717
2017-04;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711, -8.7589945;Por conta do período de férias;43
2017-04;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711, -8.7589945;Cumprimento de pena disciplinar;0
2017-04;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.;41.1094138, -8.5972617;Greve;159
2017-04;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.;41.1094138, -8.5972617;Injustificadas;3
2017-04;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Protecção na parentalidade;5286
2017-04;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Cumprimento de pena disciplinar;20
2017-04;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Greve;39
2017-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Doença;28469
2017-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Por acidente em serviço ou doença profissional;3143
2017-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Assistência a familiares;585
2017-04;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Doença;5816
2017-04;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Com perda do vencimento;0
2017-04;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Greve;48
2017-04;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Casamento;7
2017-04;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Por acidente em serviço ou doença profissional;762
2017-04;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Trabalhador-estudante;283
2017-04;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Greve;341
2017-04;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Injustificadas;0
2017-04;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, E.P.E.;41.4387173, -8.3086907;Falecimento de familiar;113
2017-04;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, E.P.E.;41.4387173, -8.3086907;Doença;7976
2017-04;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, E.P.E.;41.4387173, -8.3086907;Trabalhador-estudante;287
2017-04;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, E.P.E.;41.4387173, -8.3086907;Com perda do vencimento;15
2017-04;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234, -8.6171561;Doença;3093
2017-04;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234, -8.6171561;Por conta do período de férias;17
2017-04;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234, -8.6171561;Com perda do vencimento;0
2017-04;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234, -8.6171561;Cumprimento de pena disciplinar;0
2017-04;Região de Saúde Norte;Hospital de Magalhães Lemos, E.P.E.;41.1764649, -8.6649823;Doença;2816
2017-04;Região de Saúde Norte;Hospital de Magalhães Lemos, E.P.E.;41.1764649, -8.6649823;Assistência a familiares;26
2017-04;Região de Saúde Norte;Hospital de Magalhães Lemos, E.P.E.;41.1764649, -8.6649823;Cumprimento de pena disciplinar;0
2017-04;Região de Saúde Norte;Hospital de Magalhães Lemos, E.P.E.;41.1764649, -8.6649823;Greve;29
2017-04;Região de Saúde Norte;Hospital de Magalhães Lemos, E.P.E.;41.1764649, -8.6649823;Outras;124
2017-04;Região de Saúde Norte;Instituto Português Oncologia do Porto, E.P.E.;41.1785642, -8.6062881;Protecção na parentalidade;10096
2017-04;Região de Saúde Norte;Instituto Português Oncologia do Porto, E.P.E.;41.1785642, -8.6062881;Por acidente em serviço ou doença profissional;1388
2017-04;Região de Saúde Norte;Instituto Português Oncologia do Porto, E.P.E.;41.1785642, -8.6062881;Trabalhador-estudante;589
2017-04;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Falecimento de familiar;380
2017-04;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Trabalhador-estudante;307
2017-04;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Greve;148
2017-04;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Outras;1850
2017-04;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Casamento;41
2017-04;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Protecção na parentalidade;3942
2017-04;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Doença;8409
2017-04;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Por acidente em serviço ou doença profissional;236
2017-04;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Com perda do vencimento;0
2017-04;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Greve;87
2017-04;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Injustificadas;10
2017-04;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Protecção na parentalidade;9186
2017-04;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Assistência a familiares;184
2017-04;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Por conta do período de férias;43
2017-04;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Cumprimento de pena disciplinar;0
2017-04;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Outras;1639
2017-04;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;40.2038193, -8.4212899;Assistência a familiares;155
2017-04;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;40.2038193, -8.4212899;Trabalhador-estudante;155
2017-04;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;40.2038193, -8.4212899;Cumprimento de pena disciplinar;0
2017-04;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;40.2038193, -8.4212899;Greve;6
2017-04;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;40.2038193, -8.4212899;Outras;446
2017-04;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, E.P.E.;38.5684861, -7.9032848;Trabalhador-estudante;160
2017-04;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, E.P.E.;38.5684861, -7.9032848;Greve;97
2017-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Por acidente em serviço ou doença profissional;501
2017-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Protecção na parentalidade;3659
2017-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Assistência a familiares;328
2017-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Greve;148
2017-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Doença;6390
2017-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Por acidente em serviço ou doença profissional;942
2017-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Assistência a familiares;105
2017-04;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272496, -7.9489909;Protecção na parentalidade;4618
2017-04;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272496, -7.9489909;Falecimento de familiar;153
2017-04;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272496, -7.9489909;Greve;165
2017-04;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve;37.0238973, -7.9281554;Por acidente em serviço ou doença profissional;1880
2017-04;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve;37.0238973, -7.9281554;Injustificadas;315
2017-04;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038193, -8.4212899;Greve;138
2017-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Casamento;15
2017-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Trabalhador-estudante;102
2017-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Por conta do período de férias;26
2017-04;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Doença;2896
2017-04;Região de Saúde do Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Casamento;60
2017-04;Região de Saúde do Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Protecção na parentalidade;6191
2017-04;Região de Saúde do Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Com perda do vencimento;2
2017-04;Região de Saúde do Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Injustificadas;42
2017-04;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Protecção na parentalidade;9413
2017-04;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Trabalhador-estudante;140
2017-04;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919, -8.7707806;Casamento;0
2017-04;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919, -8.7707806;Trabalhador-estudante;62
2017-04;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919, -8.7707806;Cumprimento de pena disciplinar;0
2017-04;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919, -8.7707806;Greve;11
2017-04;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Assistência a familiares;845
2017-04;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015, -8.5933462;Protecção na parentalidade;77
2017-04;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015, -8.5933462;Doença;543
2017-04;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015, -8.5933462;Com perda do vencimento;0
2017-04;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;Por acidente em serviço ou doença profissional;15
2017-04;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;Assistência a familiares;14
2017-04;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;Por conta do período de férias;192
2017-04;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;Injustificadas;0
2017-04;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, E.P.E.;40.2162514, -8.4103814;Trabalhador-estudante;146
2017-04;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, E.P.E.;40.2162514, -8.4103814;Outras;718
2017-04;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Casamento;45
2017-04;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Doença;8599
2017-04;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Casamento;30
2017-04;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Protecção na parentalidade;2954
2017-05;Região de Saúde LVT;Administração Central do Sistema de Saúde, I.P.;38.7569402, -9.1494097;Falecimento de familiar;13
2017-05;Região de Saúde LVT;Administração Central do Sistema de Saúde, I.P.;38.7569402, -9.1494097;Por conta do período de férias;194
2017-05;Região de Saúde LVT;Administração Central do Sistema de Saúde, I.P.;38.7569402, -9.1494097;Injustificadas;1
2017-05;Região de Saúde LVT;Administração Regional Saúde Lisboa Vale Tejo, I.P.;38.7490091, -9.1417844;Protecção na parentalidade;27832
2017-05;Região de Saúde LVT;Administração Regional Saúde Lisboa Vale Tejo, I.P.;38.7490091, -9.1417844;Por acidente em serviço ou doença profissional;4528
2017-05;Região de Saúde LVT;Administração Regional Saúde Lisboa Vale Tejo, I.P.;38.7490091, -9.1417844;Trabalhador-estudante;559
2017-05;Região de Saúde LVT;Administração Regional Saúde Lisboa Vale Tejo, I.P.;38.7490091, -9.1417844;Por conta do período de férias;1192
2017-05;Região de Saúde LVT;Administração Regional Saúde Lisboa Vale Tejo, I.P.;38.7490091, -9.1417844;Outras;11154
2017-05;Região de Saúde LVT;Autoridade Nacional Medicamento Produtos de Saúde, I.P.;38.7582532, -9.1502867;Trabalhador-estudante;66
2017-05;Região de Saúde LVT;Autoridade Nacional Medicamento Produtos de Saúde, I.P.;38.7582532, -9.1502867;Cumprimento de pena disciplinar;0
2017-05;Região de Saúde LVT;Autoridade Nacional Medicamento Produtos de Saúde, I.P.;38.7582532, -9.1502867;Outras;419
2017-05;Região de Saúde LVT;Ação Governativa - MS;38.7362218, -9.1463126;Por acidente em serviço ou doença profissional;0
2017-05;Região de Saúde LVT;Ação Governativa - MS;38.7362218, -9.1463126;Por conta do período de férias;0
2017-05;Região de Saúde LVT;Ação Governativa - MS;38.7362218, -9.1463126;Outras;0
2017-05;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, E.P.E.;38.6554005, -9.0592392;Protecção na parentalidade;5497
2017-05;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, E.P.E.;38.6554005, -9.0592392;Doença;9150
2017-05;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, E.P.E.;38.6554005, -9.0592392;Por conta do período de férias;109
2017-05;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948, -9.1371248;Cumprimento de pena disciplinar;70
2017-05;Região de Saúde LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Assistência a familiares;210
2017-05;Região de Saúde LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Outras;956
2017-05;Região de Saúde LVT;Centro Hospitalar Médio Tejo, E.P.E.;39.478072, -8.5404429;Assistência a familiares;246
2017-05;Região de Saúde LVT;Centro Hospitalar Médio Tejo, E.P.E.;39.478072, -8.5404429;Injustificadas;243
2017-05;Região de Saúde LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Cumprimento de pena disciplinar;0
2017-05;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Assistência a familiares;451
2017-05;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Por conta do período de férias;66
2017-05;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Falecimento de familiar;27
2017-05;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Doença;3352
2017-05;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Assistência a familiares;24
2017-05;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Trabalhador-estudante;17
2017-05;Região de Saúde LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946, -8.6937515;Trabalhador-estudante;332
2017-05;Região de Saúde LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946, -8.6937515;Outras;3163
2017-05;Região de Saúde LVT;Hospital Garcia de Orta, E.P.E.;38.6658713, -9.1822554;Por conta do período de férias;29
2017-05;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Assistência a familiares;195
2017-05;Região de Saúde LVT;Inspeção Geral das Actividades da Saúde;38.7156219, -9.1431603;Casamento;0
2017-05;Região de Saúde LVT;Inspeção Geral das Actividades da Saúde;38.7156219, -9.1431603;Falecimento de familiar;29
2017-05;Região de Saúde LVT;Inspeção Geral das Actividades da Saúde;38.7156219, -9.1431603;Por acidente em serviço ou doença profissional;0
2017-05;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, E.P.E.;38.7396768, -9.1634516;Protecção na parentalidade;7976
2017-05;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, E.P.E.;38.7396768, -9.1634516;Assistência a familiares;88
2017-05;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, E.P.E.;38.7396768, -9.1634516;Por conta do período de férias;22
2017-05;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, E.P.E.;38.7396768, -9.1634516;Cumprimento de pena disciplinar;10
2017-05;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, E.P.E.;38.7396768, -9.1634516;Injustificadas;15
2017-05;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Doença;468
2017-05;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Greve;13
2017-05;Região de Saúde LVT;Instituto Nacional de Emergência Médica;38.7313954, -9.1447467;Cumprimento de pena disciplinar;0
2017-05;Região de Saúde LVT;Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.;38.7643827, -9.1663422;Protecção na parentalidade;839
2017-05;Região de Saúde LVT;Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.;38.7643827, -9.1663422;Por acidente em serviço ou doença profissional;489
2017-05;Região de Saúde LVT;Instituto Português do Sangue e da Transplantação, I.P.;38.7567758, -9.1505021;Falecimento de familiar;46
2017-05;Região de Saúde LVT;Instituto Português do Sangue e da Transplantação, I.P.;38.7567758, -9.1505021;Trabalhador-estudante;26
2017-05;Região de Saúde LVT;Instituto Português do Sangue e da Transplantação, I.P.;38.7567758, -9.1505021;Cumprimento de pena disciplinar;0
2017-05;Região de Saúde LVT;Instituto Português do Sangue e da Transplantação, I.P.;38.7567758, -9.1505021;Greve;15
2017-05;Região de Saúde LVT;Instituto Português do Sangue e da Transplantação, I.P.;38.7567758, -9.1505021;Injustificadas;25
2017-05;Região de Saúde LVT;Secretaria-Geral do Ministério da Saúde;38.7362218, -9.1463126;Casamento;0
2017-05;Região de Saúde LVT;Secretaria-Geral do Ministério da Saúde;38.7362218, -9.1463126;Falecimento de familiar;11
2017-05;Região de Saúde LVT;Secretaria-Geral do Ministério da Saúde;38.7362218, -9.1463126;Outras;8
2017-05;Região de Saúde LVT;Serviços Partilhados do Ministério da Saúde, E.P.E.;38.739767, -9.1489431;Protecção na parentalidade;527
2017-05;Região de Saúde LVT;Serviços Partilhados do Ministério da Saúde, E.P.E.;38.739767, -9.1489431;Trabalhador-estudante;81
2017-05;Região de Saúde LVT;Serviços Partilhados do Ministério da Saúde, E.P.E.;38.739767, -9.1489431;Por conta do período de férias;4
2017-05;Região de Saúde LVT;Serviço de Intervenção Comportamentos Aditivos e Dependências;38.7653399, -9.1611815;Protecção na parentalidade;105
2017-05;Região de Saúde LVT;Serviço de Intervenção Comportamentos Aditivos e Dependências;38.7653399, -9.1611815;Cumprimento de pena disciplinar;0
2017-05;Região de Saúde LVT;Serviço de Intervenção Comportamentos Aditivos e Dependências;38.7653399, -9.1611815;Outras;16
2017-05;Região de Saúde Norte;Administração Regional Saúde Norte, I.P.;41.1576361, -8.6066408;Casamento;140
2017-05;Região de Saúde Norte;Administração Regional Saúde Norte, I.P.;41.1576361, -8.6066408;Protecção na parentalidade;29620
2017-05;Região de Saúde Norte;Administração Regional Saúde Norte, I.P.;41.1576361, -8.6066408;Por acidente em serviço ou doença profissional;5880
2017-05;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Doença;18580
2017-05;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Assistência a familiares;617
2017-05;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Com perda do vencimento;0
2017-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711, -8.7589945;Por acidente em serviço ou doença profissional;232
2017-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711, -8.7589945;Por conta do período de férias;53
2017-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711, -8.7589945;Cumprimento de pena disciplinar;0
2017-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711, -8.7589945;Outras;364
2017-05;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.;41.1094138, -8.5972617;Trabalhador-estudante;600
2017-05;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Casamento;25
2017-05;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Injustificadas;2
2017-05;Região de Saúde Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Cumprimento de pena disciplinar;0
2017-05;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Com perda do vencimento;0
2017-05;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Outras;359
2017-05;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Injustificadas;78
2017-05;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Trabalhador-estudante;183
2017-05;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, E.P.E.;41.4387173, -8.3086907;Casamento;0
2017-05;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, E.P.E.;41.4387173, -8.3086907;Falecimento de familiar;113
