2025-12-31 23:04:38,726 - INFO - ======================================================================
2025-12-31 23:04:38,726 - INFO - ULS INTEGRATION STRUCTURE ANALYSIS
2025-12-31 23:04:38,726 - INFO - ======================================================================

2025-12-31 23:04:38,726 - INFO - Loading entities from all datasets...
2025-12-31 23:04:38,801 - INFO -   Monthly panel: 192 entities
2025-12-31 23:04:38,814 - INFO -   Quality data: 128 entities
2025-12-31 23:04:38,821 - INFO -   Financial data: 95 entities
2025-12-31 23:04:38,821 - INFO - 
Total unique entities: 252
2025-12-31 23:04:38,822 - INFO - 
Classifying entities...
2025-12-31 23:04:38,822 - INFO - 
Classification results:
2025-12-31 23:04:38,822 - INFO -   ULS: 128
2025-12-31 23:04:38,822 - INFO -   IPO: 16
2025-12-31 23:04:38,822 - INFO -   Hospitals/Centros Hospitalares: 95
2025-12-31 23:04:38,822 - INFO -   ACES: 0
2025-12-31 23:04:38,822 - INFO -   Other: 13
2025-12-31 23:04:38,822 - INFO - 
======================================================================
2025-12-31 23:04:38,823 - INFO -   Local de Saúde da Região de Leiria: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde de Braga: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde de Castelo Branco: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde de Coimbra: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde de Entre Douro e Vouga: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde de Lisboa Ocidental: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde de Matosinhos: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde de Santa Maria: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde de Santo António: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde de São José: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde de São João: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde do Alentejo Central: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde do Algarve: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde do Alto Alentejo: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde do Alto Ave: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde do Alto Minho: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde do Arco Ribeirinho: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde do Baixo Alentejo: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde do Baixo Mondego: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde do Estuário do Tejo: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde do Litoral Alentejano: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde do Médio Ave: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde do Médio Tejo: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde do Nordeste: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde do Norte Alentejano: 1
2025-12-31 23:04:38,823 - INFO -   Local de Saúde do Oeste: 2
2025-12-31 23:04:38,824 - INFO -   Local de Saúde do Tâmega e Sousa: 2
2025-12-31 23:04:38,824 - INFO - 
======================================================================
2025-12-31 23:04:38,824 - INFO - INSTITUTOS PORTUGUESES DE ONCOLOGIA (IPO)
2025-12-31 23:04:38,824 - INFO - ======================================================================
2025-12-31 23:04:38,824 - INFO - 1. INSTITUTO PORTUGUES DE ONCOLOGIA DE COIMBRA, EPE
2025-12-31 23:04:38,824 - INFO - 2. INSTITUTO PORTUGUES DE ONCOLOGIA DE LISBOA, EPE
2025-12-31 23:04:38,824 - INFO - 3. INSTITUTO PORTUGUES DE ONCOLOGIA DO PORTO, EPE
2025-12-31 23:04:38,824 - INFO - 4. Instituto Português Oncologia  F. Gentil - Centro, E.P.E.
2025-12-31 23:04:38,824 - INFO - 5. Instituto Português Oncologia  F. Gentil - Coimbra, E.P.E.
2025-12-31 23:04:38,824 - INFO - 6. Instituto Português Oncologia  F. Gentil - Lisboa, E.P.E.
2025-12-31 23:04:38,824 - INFO - 7. Instituto Português Oncologia  F. Gentil - Porto, E.P.E.
2025-12-31 23:04:38,824 - INFO - 8. Instituto Português Oncologia de Coimbra, EPE
2025-12-31 23:04:38,824 - INFO - 9. Instituto Português Oncologia de Lisboa, EPE
2025-12-31 23:04:38,824 - INFO - 10. Instituto Português Oncologia do Porto, EPE
2025-12-31 23:04:38,824 - INFO - 11. Instituto Português de Oncologia de Coimbra, E. P. E.
2025-12-31 23:04:38,824 - INFO - 12. Instituto Português de Oncologia de Coimbra, EPE
2025-12-31 23:04:38,824 - INFO - 13. Instituto Português de Oncologia de Lisboa, E. P. E.
2025-12-31 23:04:38,824 - INFO - 14. Instituto Português de Oncologia de Lisboa, EPE
2025-12-31 23:04:38,824 - INFO - 15. Instituto Português de Oncologia do Porto, E. P. E.
2025-12-31 23:04:38,824 - INFO - 16. Instituto Português de Oncologia do Porto, EPE
2025-12-31 23:04:38,824 - INFO - 
======================================================================
2025-12-31 23:04:38,824 - INFO - VERIFICATION
2025-12-31 23:04:38,824 - INFO - ======================================================================
2025-12-31 23:04:38,824 - INFO - 
Expected structure (as of 2024 reform):
2025-12-31 23:04:38,824 - INFO -   ULS: 39
2025-12-31 23:04:38,824 - INFO -   IPO: 3
2025-12-31 23:04:38,824 - INFO -   Total core entities: 42
2025-12-31 23:04:38,824 - INFO - 
Found in data:
2025-12-31 23:04:38,824 - INFO -   ULS: 128
2025-12-31 23:04:38,824 - INFO -   IPO: 16
2025-12-31 23:04:38,824 - INFO -   Total: 144
2025-12-31 23:04:38,824 - WARNING - 
⚠ ULS count mismatch: Found 128, expected 39
2025-12-31 23:04:38,824 - WARNING -   Difference: 89
