freq;freq_label;sex;sex_label;unit;unit_label;age;age_label;geo;geo_label;time;time_label;value
A;Annual;F;Females;NR;Number;Y15-19;From 15 to 19 years;PT;Portugal;2015;2015;612647
A;Annual;T;Total;NR;Number;Y20-24;From 20 to 24 years;PT;Portugal;2015;2015;589542
A;Annual;M;Males;NR;Number;Y20-24;From 20 to 24 years;PT;Portugal;2015;2015;573673
A;Annual;F;Females;NR;Number;Y20-24;From 20 to 24 years;PT;Portugal;2015;2015;563303
A;Annual;T;Total;NR;Number;Y25-29;From 25 to 29 years;PT;Portugal;2015;2015;560694
A;Annual;M;Males;NR;Number;Y25-29;From 25 to 29 years;PT;Portugal;2015;2015;564506
A;Annual;F;Females;NR;Number;Y25-29;From 25 to 29 years;PT;Portugal;2015;2015;578434
A;Annual;T;Total;NR;Number;Y30-34;From 30 to 34 years;PT;Portugal;2015;2015;595831
A;Annual;M;Males;NR;Number;Y30-34;From 30 to 34 years;PT;Portugal;2015;2015;809698
A;Annual;F;Females;NR;Number;Y30-34;From 30 to 34 years;PT;Portugal;2015;2015;785116
A;Annual;T;Total;NR;Number;Y35-39;From 35 to 39 years;PT;Portugal;2015;2015;760185
A;Annual;M;Males;NR;Number;Y35-39;From 35 to 39 years;PT;Portugal;2015;2015;729937
A;Annual;F;Females;NR;Number;Y35-39;From 35 to 39 years;PT;Portugal;2015;2015;703974
A;Annual;T;Total;NR;Number;Y40-44;From 40 to 44 years;PT;Portugal;2015;2015;685449
A;Annual;M;Males;NR;Number;Y40-44;From 40 to 44 years;PT;Portugal;2015;2015;673005
A;Annual;F;Females;NR;Number;Y40-44;From 40 to 44 years;PT;Portugal;2015;2015;651589
A;Annual;T;Total;NR;Number;Y45-49;From 45 to 49 years;PT;Portugal;2015;2015;634615
A;Annual;M;Males;NR;Number;Y45-49;From 45 to 49 years;PT;Portugal;2015;2015;625604
A;Annual;F;Females;NR;Number;Y45-49;From 45 to 49 years;PT;Portugal;2015;2015;625728
A;Annual;T;Total;NR;Number;Y50-54;From 50 to 54 years;PT;Portugal;2015;2015;789321
A;Annual;M;Males;NR;Number;Y50-54;From 50 to 54 years;PT;Portugal;2015;2015;797884
A;Annual;F;Females;NR;Number;Y50-54;From 50 to 54 years;PT;Portugal;2015;2015;806604
A;Annual;T;Total;NR;Number;Y55-59;From 55 to 59 years;PT;Portugal;2015;2015;810450
A;Annual;M;Males;NR;Number;Y55-59;From 55 to 59 years;PT;Portugal;2015;2015;810179
A;Annual;F;Females;NR;Number;Y55-59;From 55 to 59 years;PT;Portugal;2015;2015;799141
A;Annual;T;Total;NR;Number;Y60-64;From 60 to 64 years;PT;Portugal;2015;2015;783098
