freq;freq_label;isced11;isced11_label;sex;sex_label;age;age_label;unit;unit_label;geo;geo_label;time;time_label;value
A;Annual;TOTAL;All ISCED 2011 levels;F;Females;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;7.6
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);F;Females;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;7.6
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);F;Females;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;8.0
A;Annual;ED5-8;Tertiary education (levels 5-8);F;Females;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;7.6
A;Annual;NRP;No response;F;Females;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;9.4
A;Annual;UNK;Unknown;F;Females;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;10.8
A;Annual;TOTAL;All ISCED 2011 levels;T;Total;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;12.7
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);T;Total;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;15.5
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);T;Total;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;16.2
A;Annual;ED5-8;Tertiary education (levels 5-8);T;Total;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;13.9
A;Annual;NRP;No response;T;Total;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;12.4
A;Annual;UNK;Unknown;T;Total;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;11.1
A;Annual;TOTAL;All ISCED 2011 levels;M;Males;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;8.9
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);M;Males;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;7.0
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);M;Males;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;6.4
A;Annual;ED5-8;Tertiary education (levels 5-8);M;Males;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;6.8
A;Annual;NRP;No response;M;Males;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;6.7
A;Annual;UNK;Unknown;M;Males;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;6.1
A;Annual;TOTAL;All ISCED 2011 levels;F;Females;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;6.5
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);F;Females;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;6.4
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);F;Females;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;4.7
A;Annual;ED5-8;Tertiary education (levels 5-8);F;Females;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;3.8
A;Annual;NRP;No response;F;Females;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;3.8
A;Annual;UNK;Unknown;F;Females;Y25-34;From 25 to 34 years;PC;Percentage;PT;Portugal;1999;1999;4.5
A;Annual;TOTAL;All ISCED 2011 levels;T;Total;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;6.2
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);T;Total;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;6.4
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);T;Total;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;7.8
A;Annual;ED5-8;Tertiary education (levels 5-8);T;Total;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;7.8
A;Annual;NRP;No response;T;Total;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;8.2
A;Annual;UNK;Unknown;T;Total;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;7.7
A;Annual;TOTAL;All ISCED 2011 levels;M;Males;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;9.7
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);M;Males;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;11.1
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);M;Males;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;12.8
A;Annual;ED5-8;Tertiary education (levels 5-8);M;Males;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;15.8
A;Annual;NRP;No response;M;Males;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;16.6
A;Annual;UNK;Unknown;M;Males;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;14.0
A;Annual;TOTAL;All ISCED 2011 levels;F;Females;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;12.5
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);F;Females;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;11.2
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);F;Females;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;8.9
A;Annual;ED5-8;Tertiary education (levels 5-8);F;Females;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;6.9
A;Annual;NRP;No response;F;Females;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;6.4
A;Annual;UNK;Unknown;F;Females;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;6.9
A;Annual;TOTAL;All ISCED 2011 levels;T;Total;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;6.7
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);T;Total;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;6.1
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);T;Total;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;6.4
A;Annual;ED5-8;Tertiary education (levels 5-8);T;Total;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;6.3
A;Annual;NRP;No response;T;Total;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;5.0
A;Annual;UNK;Unknown;T;Total;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;4.1
A;Annual;TOTAL;All ISCED 2011 levels;M;Males;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;3.9
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);M;Males;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;4.8
