freq;freq_label;unit;unit_label;wstatus;wstatus_label;nace_r2;nace_r2_label;geo;geo_label;time;time_label;value
A;Annual;THS;Thousand;EMP;Employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1996;1996;1099.11
A;Annual;THS;Thousand;SAL;Employees;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1996;1996;1107.28
A;Annual;THS;Thousand;SELF;Self-employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1996;1996;1106.06
A;Annual;THS;Thousand;EMP;Employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1996;1996;1095.15
A;Annual;THS;Thousand;SAL;Employees;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1996;1996;1088.84
A;Annual;THS;Thousand;SELF;Self-employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1996;1996;1055.67
A;Annual;THS;Thousand;EMP;Employed persons;J;Information and communication;PT;Portugal;1996;1996;1018.38
A;Annual;THS;Thousand;SAL;Employees;J;Information and communication;PT;Portugal;1996;1996;977.5
A;Annual;THS;Thousand;SELF;Self-employed persons;J;Information and communication;PT;Portugal;1996;1996;937.6
A;Annual;THS;Thousand;EMP;Employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1996;1996;924.03
A;Annual;THS;Thousand;SAL;Employees;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1996;1996;903.61
A;Annual;THS;Thousand;SELF;Self-employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1996;1996;879.77
A;Annual;THS;Thousand;EMP;Employed persons;K;Financial and insurance activities;PT;Portugal;1996;1996;811.0
A;Annual;THS;Thousand;SAL;Employees;K;Financial and insurance activities;PT;Portugal;1996;1996;790.55
A;Annual;THS;Thousand;SELF;Self-employed persons;K;Financial and insurance activities;PT;Portugal;1996;1996;776.93
A;Annual;THS;Thousand;EMP;Employed persons;L;Real estate activities;PT;Portugal;1996;1996;748.26
A;Annual;THS;Thousand;SAL;Employees;L;Real estate activities;PT;Portugal;1996;1996;733.99
A;Annual;THS;Thousand;SELF;Self-employed persons;L;Real estate activities;PT;Portugal;1996;1996;748.09
A;Annual;THS;Thousand;EMP;Employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1996;1996;770.85
A;Annual;THS;Thousand;SAL;Employees;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1996;1996;784.11
A;Annual;THS;Thousand;SELF;Self-employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1996;1996;811.91
A;Annual;THS;Thousand;EMP;Employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT;Portugal;1996;1996;837.92
A;Annual;THS;Thousand;SAL;Employees;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT;Portugal;1996;1996;833.55
A;Annual;THS;Thousand;SELF;Self-employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT;Portugal;1996;1996;812.19
A;Annual;THS;Thousand;EMP;Employed persons;O-Q;Public administration, defence, education, human health and social work activities;PT;Portugal;1996;1996;794.1
A;Annual;THS;Thousand;SAL;Employees;O-Q;Public administration, defence, education, human health and social work activities;PT;Portugal;1996;1996;803.63
A;Annual;THS;Thousand;EMP;Employed persons;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT;Portugal;1996;1996;1004.54
A;Annual;THS;Thousand;SAL;Employees;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT;Portugal;1996;1996;1016.98
A;Annual;THS;Thousand;SELF;Self-employed persons;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT;Portugal;1996;1996;1030.23
A;Annual;THS;Thousand;EMP;Employed persons;TOTAL;Total - all NACE activities;PT;Portugal;1997;1997;1039.29
A;Annual;THS;Thousand;SAL;Employees;TOTAL;Total - all NACE activities;PT;Portugal;1997;1997;1039.14
A;Annual;THS;Thousand;SELF;Self-employed persons;TOTAL;Total - all NACE activities;PT;Portugal;1997;1997;1028.71
A;Annual;THS;Thousand;EMP;Employed persons;A;Agriculture, forestry and fishing;PT;Portugal;1997;1997;1023.14
A;Annual;THS;Thousand;SAL;Employees;A;Agriculture, forestry and fishing;PT;Portugal;1997;1997;991.83
A;Annual;THS;Thousand;SELF;Self-employed persons;A;Agriculture, forestry and fishing;PT;Portugal;1997;1997;952.32
A;Annual;THS;Thousand;EMP;Employed persons;B-E;Industry (except construction);PT;Portugal;1997;1997;912.76
A;Annual;THS;Thousand;SAL;Employees;B-E;Industry (except construction);PT;Portugal;1997;1997;874.63
A;Annual;THS;Thousand;SELF;Self-employed persons;B-E;Industry (except construction);PT;Portugal;1997;1997;860.92
A;Annual;THS;Thousand;EMP;Employed persons;C;Manufacturing;PT;Portugal;1997;1997;841.32
A;Annual;THS;Thousand;SAL;Employees;C;Manufacturing;PT;Portugal;1997;1997;816.73
A;Annual;THS;Thousand;SELF;Self-employed persons;C;Manufacturing;PT;Portugal;1997;1997;747.04
A;Annual;THS;Thousand;EMP;Employed persons;F;Construction;PT;Portugal;1997;1997;727.38
A;Annual;THS;Thousand;SAL;Employees;F;Construction;PT;Portugal;1997;1997;713.32
A;Annual;THS;Thousand;SELF;Self-employed persons;F;Construction;PT;Portugal;1997;1997;686.2
A;Annual;THS;Thousand;EMP;Employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1997;1997;673.72
A;Annual;THS;Thousand;SAL;Employees;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1997;1997;688.91
A;Annual;THS;Thousand;SELF;Self-employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1997;1997;710.57
A;Annual;THS;Thousand;EMP;Employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1997;1997;722.99
A;Annual;THS;Thousand;SAL;Employees;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1997;1997;749.08
A;Annual;THS;Thousand;SELF;Self-employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1997;1997;774.58
A;Annual;THS;Thousand;EMP;Employed persons;J;Information and communication;PT;Portugal;1997;1997;770.07
A;Annual;THS;Thousand;SAL;Employees;J;Information and communication;PT;Portugal;1997;1997;747.1
A;Annual;THS;Thousand;SELF;Self-employed persons;J;Information and communication;PT;Portugal;1997;1997;728.93
A;Annual;THS;Thousand;EMP;Employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1997;1997;736.59
A;Annual;THS;Thousand;SELF;Self-employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1997;1997;418.69
A;Annual;THS;Thousand;EMP;Employed persons;K;Financial and insurance activities;PT;Portugal;1997;1997;427.37
A;Annual;THS;Thousand;SAL;Employees;K;Financial and insurance activities;PT;Portugal;1997;1997;454.31
A;Annual;THS;Thousand;SELF;Self-employed persons;K;Financial and insurance activities;PT;Portugal;1997;1997;500.38
A;Annual;THS;Thousand;EMP;Employed persons;L;Real estate activities;PT;Portugal;1997;1997;524.83
A;Annual;THS;Thousand;SAL;Employees;L;Real estate activities;PT;Portugal;1997;1997;579.41
A;Annual;THS;Thousand;SELF;Self-employed persons;L;Real estate activities;PT;Portugal;1997;1997;567.32
A;Annual;THS;Thousand;EMP;Employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1997;1997;593.66
A;Annual;THS;Thousand;SAL;Employees;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1997;1997;561.23
A;Annual;THS;Thousand;SELF;Self-employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1997;1997;537.4
A;Annual;THS;Thousand;EMP;Employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT;Portugal;1997;1997;521.81
A;Annual;THS;Thousand;SAL;Employees;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT;Portugal;1997;1997;511.03
A;Annual;THS;Thousand;SELF;Self-employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT;Portugal;1997;1997;516.09
A;Annual;THS;Thousand;EMP;Employed persons;O-Q;Public administration, defence, education, human health and social work activities;PT;Portugal;1997;1997;501.05
A;Annual;THS;Thousand;SAL;Employees;O-Q;Public administration, defence, education, human health and social work activities;PT;Portugal;1997;1997;455.32
A;Annual;THS;Thousand;SELF;Self-employed persons;O-Q;Public administration, defence, education, human health and social work activities;PT;Portugal;1997;1997;436.38
A;Annual;THS;Thousand;EMP;Employed persons;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT;Portugal;1997;1997;395.66
A;Annual;THS;Thousand;SAL;Employees;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT;Portugal;1997;1997;315.34
A;Annual;THS;Thousand;SELF;Self-employed persons;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT;Portugal;1997;1997;283.28
A;Annual;THS;Thousand;EMP;Employed persons;TOTAL;Total - all NACE activities;PT;Portugal;1998;1998;269.89
A;Annual;THS;Thousand;SAL;Employees;TOTAL;Total - all NACE activities;PT;Portugal;1998;1998;273.28
A;Annual;THS;Thousand;SELF;Self-employed persons;TOTAL;Total - all NACE activities;PT;Portugal;1998;1998;276.52
