ano;trimestre;regiao;faixa_etaria;cod_capitulo;desc_capitulo;taxa_internamento;taxa_mortalidade
2020;Primeiro;Região de Saúde do Alentejo;[0-1[;16;Algumas condições originadas no período perinatal;1.55;0.0
2020;Primeiro;Região de Saúde do Alentejo;[0-1[;17;Malformações congénitas, deformações e anomalias cromossómicas;0.12;0.0
2020;Primeiro;Região de Saúde do Alentejo;[1-5[;19;Lesões, envenenamento e algumas outras consequências de causas externas;3.48;0.0
2020;Quarto;Região de Saúde do Centro;[25-45[;2;Neoplasias;5.76;4.98
2020;Quarto;Região de Saúde do Centro;[45-65[;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;3.2;0.87
2020;Quarto;Região de Saúde do Centro;[45-65[;11;Doenças do aparelho digestivo;14.63;2.85
2020;Quarto;Região de Saúde do Centro;[45-65[;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;1.96;1.42
2020;Quarto;Região de Saúde do Centro;[5-15[;9;Doenças do aparelho circulatório;2.51;0.0
2020;Quarto;Região de Saúde do Centro;[5-15[;10;Doenças do aparelho respiratório;12.55;0.0
2020;Quarto;Região de Saúde do Centro;[5-15[;14;Doenças do aparelho geniturinário;4.83;0.0
2020;Quarto;Região de Saúde do Centro;[5-15[;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;3.86;0.0
2020;Quarto;Região de Saúde do Centro;[5-15[;19;Lesões, envenenamento e algumas outras consequências de causas externas;13.71;0.0
2020;Quarto;Região de Saúde do Centro;[65-120[;1;Algumas doenças infecciosas e parasitárias;2.56;33.26
2020;Quarto;Região de Saúde do Centro;[65-120[;2;Neoplasias;13.1;16.17
2020;Terceiro;Região de Saúde do Alentejo;[25-45[;10;Doenças do aparelho respiratório;2.3;12.0
2020;Terceiro;Região de Saúde do Alentejo;[25-45[;11;Doenças do aparelho digestivo;9.12;0.0
2020;Terceiro;Região de Saúde do Alentejo;[25-45[;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;2.3;0.0
2020;Terceiro;Região de Saúde do Alentejo;[25-45[;15;Gravidez, parto e puerpério;53.59;0.0
2020;Terceiro;Região de Saúde do Alentejo;[25-45[;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;0.92;0.0
2020;Terceiro;Região de Saúde do Alentejo;[45-65[;6;Doenças do sistema nervoso;1.29;6.25
2020;Terceiro;Região de Saúde do Alentejo;[45-65[;11;Doenças do aparelho digestivo;16.81;3.37
2020;Terceiro;Região de Saúde do Alentejo;[5-15[;2;Neoplasias;2.44;0.0
2020;Terceiro;Região de Saúde do Alentejo;[5-15[;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;1.22;0.0
2020;Terceiro;Região de Saúde do Alentejo;[5-15[;12;Doenças da pele e do tecido subcutâneo;2.44;0.0
2020;Terceiro;Região de Saúde do Alentejo;[5-15[;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;2.44;0.0
2020;Terceiro;Região de Saúde do Alentejo;[65-120[;6;Doenças do sistema nervoso;0.81;12.9
2020;Terceiro;Região de Saúde do Alentejo;[65-120[;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;4.58;2.84
2020;Terceiro;Região de Saúde do Alentejo;[65-120[;17;Malformações congénitas, deformações e anomalias cromossómicas;0.03;100.0
2019;Primeiro;Região de Saúde do Norte;[25-45[;11;Doenças do aparelho digestivo;7.7;0.97
