tempo;regiao;instituicao;localizacao_geografica;no_episodios_utentes_idade_sup_65_anos_com_diag_princ_820_com_cir_realiz_nas_1as_48h_apos_admissao;n_episodios_utentes_idade_sup_65_anos_com_diag_princ_820_com_cirurgia_realizada;fraturas_anca_com_cirurgia_realizada_nas_primeiras_48_horas
2016-01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;18;24;75.0
2016-01;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919, -8.7707806;0;0;
2016-01;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;5;6;83.33
2016-01;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;0;0;
2016-01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;16;41;39.02
2016-01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;12;48;25.0
2016-01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;11;30;36.67
2016-01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;14;29;48.28
2016-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;0;35;0.0
2016-01;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;5;26;19.23
2016-01;Região de Saúde LVT;Instituto Gama Pinto;38.7218793, -9.144249;0;0;
2016-01;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;0;0;
2016-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;12;33;36.36
2016-01;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;0;0;
2016-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;20;25;80.0
2016-02;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;30;56;53.57
2016-02;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015, -8.5933462;0;0;
2016-02;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;10;15;66.67
2016-02;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;0;0;
2016-02;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;12;33;36.36
2016-02;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;22;49;44.9
2016-02;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;17;58;29.31
2016-02;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;30;42;71.43
2016-02;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;15;55;27.27
2016-02;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;16;45;35.56
2016-02;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;39;66;59.09
2016-02;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;38;57;66.67
2016-02;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;25;27;92.59
2016-02;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;43;53;81.13
2016-02;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;0;0;
2016-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;7;49;14.29
