tempo;regiao;entidade;localizacao_geografica;ebitda;gastos_operacionais;rendimentos_operacionais;resultado_liquido;resultados_operacionais
2019-06;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;-11233688.76;49351412.04;37188291.72;-12115610.93;-12163120.32
2019-06;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;-819243.83;16713118.29;15439317.77;-1273001.19;-1273800.52
2019-06;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;585251.38;70413640.57;69742985.44;-642688.36;-670655.13
2019-06;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;-7179307.06;56248180.14;47052007.06;-9199866.49;-9196173.08
2019-06;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;154016.19;15154581.09;15124421.19;-15602.01;-30159.9
2019-06;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;-5341668.89;49757492.23;43482491.9;-6260228.33;-6275000.33
2019-06;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;-29156471.07;249629022.05;217409367.86;-32034356.1;-32219654.19
2019-06;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;-7563655.53;54064129.7;45089505.48;-8980649.08;-8974624.22
2019-06;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;4821316.12;33566927.86;37564593.28;3989952.36;3997665.42
2019-07;Região de Saúde LVT;Instituto Português de Oncologia de Lisboa, EPE;38.7396768, -9.1634516;-5306128.92;89286871.94;79931472.06;-9307063.58;-9355399.88
2019-07;Região de Saúde Norte;Instituto Português de Oncologia do Porto, EPE;41.1785642, -8.6062881;-8190562.24;93108856.19;82210839.81;-10826815.0;-10898016.38
2019-07;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;-51310981.38;283718826.01;227046664.96;-56692611.53;-56672161.05
2019-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;-4401553.47;53528777.26;48217366.9;-5333032.85;-5311410.36
2019-07;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;131430.44;17823296.67;17737234.53;-67639.95;-86062.14
2019-07;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;-22843244.66;245471438.77;217778545.03;-27413123.81;-27692893.74
2019-07;Região de Saúde do Centro;Hospital Rovisco Pais;40.297919, -8.7707806;1224682.81;4917638.81;5676013.36;755738.89;758374.55
2019-07;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;371359.54;3508722.05;3880081.59;371359.54;371359.54
2019-08;Região de Saúde LVT;Hospital Distrital Santarém, EPE;39.2410946, -8.6937515;-15557903.48;60321810.88;43329331.39;-16990331.5;-16992479.49
2019-08;Região de Saúde do Centro;Instituto Português de Oncologia de Coimbra, EPE;40.2162514, -8.4103814;-1756938.55;41953786.05;38364294.75;-3356375.0;-3589491.3
2019-08;Região de Saúde Norte;Instituto Português de Oncologia do Porto, EPE;41.1785642, -8.6062881;-9670597.02;106010045.17;93248978.13;-12656834.76;-12761067.04
2019-08;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;-16597141.94;81159159.49;62981150.26;-18180639.98;-18178009.23
2019-08;Região de Saúde Norte;Centro Hospitalar Médio Ave, EPE;41.3423984, -8.4802503;-8126938.84;34198238.59;25800146.55;-8401828.7;-8398092.04
2019-08;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;-33179265.56;226802620.74;188701677.05;-38152970.63;-38100943.69
2019-08;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;-10336423.53;76204552.75;63178974.52;-13027841.43;-13025578.23
2019-08;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;-140823.98;20552740.81;20160140.45;-371711.0;-392600.36
2019-08;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;-13547474.54;66531985.29;51901236.41;-14629002.75;-14630748.88
2019-08;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;2364932.96;48492187.61;50033469.87;1516570.6;1541282.26
2019-08;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;212312.62;4094927.66;4307240.28;212312.62;212312.62
2019-09;Região de Saúde LVT;Instituto Português de Oncologia de Lisboa, EPE;38.7396768, -9.1634516;-9615778.99;117284272.39;102465297.34;-14770189.15;-14818975.05
2019-09;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, EPE;41.2494561, -8.264901;-11505130.23;83599775.67;70364285.56;-13234581.57;-13235490.11
