geocod;geodsg;ind_string;valor;periodo
1500803;Aljezur;66,4;66.4;2023
111;Alto Minho;66,5;66.5;2023
11D;Douro;66,5;66.5;2023
16E0605;Figueira da Foz;66,6;66.6;2023
1120310;Terras de Bouro;66,7;66.7;2023
184;Baixo Alentejo;66,7;66.7;2023
16I1417;Sardoal;66,8;66.8;2023
16E0611;Oliveira do Hospital;67,1;67.1;2023
1840208;Ferreira do Alentejo;67,1;67.1;2023
16I1419;Torres Novas;67,4;67.4;2023
1870704;Estremoz;67,4;67.4;2023
16G;Viseu Dão Lafões;67,5;67.5;2023
1840213;Serpa;67,6;67.6;2023
1851404;Alpiarça;67,6;67.6;2023
16I;Médio Tejo;67,7;67.7;2023
1840203;Alvito;67,7;67.7;2023
16H0502;Castelo Branco;67,8;67.8;2023
1500815;Vila do Bispo;67,9;67.9;2023
1861214;Portalegre;67,9;67.9;2023
1870701;Alandroal;68,0;68;2023
16D0103;Anadia;68,4;68.4;2023
1870703;Borba;68,4;68.4;2023
1111606;Ponte da Barca;68,5;68.5;2023
16I1402;Alcanena;68,5;68.5;2023
16B1104;Cadaval;68,6;68.6;2023
1190311;Vieira do Minho;69,0;69;2023
16D0117;Sever do Vouga;69,2;69.2;2023
16F1015;Pombal;69,2;69.2;2023
1861211;Monforte;69,4;69.4;2023
11D1818;Sernancelhe;69,5;69.5;2023
1840201;Aljustrel;69,6;69.6;2023
1111602;Caminha;69,7;69.7;2023
1861208;Fronteira;69,9;69.9;2023
1870712;Vendas Novas;69,9;69.9;2023
16E0616;Tábua;70,1;70.1;2023
16J0503;Covilhã;70,1;70.1;2023
16E0614;Penela;70,3;70.3;2023
16G1806;Mangualde;70,3;70.3;2023
1111605;Paredes de Coura;70,6;70.6;2023
16I1418;Tomar;70,7;70.7;2023
186;Alto Alentejo;70,8;70.8;2023
1861215;Sousel;70,8;70.8;2023
1870708;Mourão;70,8;70.8;2023
1861202;Arronches;71,3;71.3;2023
1861213;Ponte de Sor;71,3;71.3;2023
1870706;Montemor-o-Novo;71,3;71.3;2023
11D1807;Moimenta da Beira;71,4;71.4;2023
1840210;Moura;71,5;71.5;2023
16I1401;Abrantes;71,7;71.7;2023
1500814;Tavira;71,8;71.8;2023
16G1817;Sátão;71,9;71.9;2023
16E0602;Cantanhede;72,1;72.1;2023
16G1824;Vouzela;72,2;72.2;2023
16G1822;Vila Nova de Paiva;72,5;72.5;2023
1851407;Chamusca;72,5;72.5;2023
16E0608;Mira;72,8;72.8;2023
16G1809;Nelas;72,8;72.8;2023
11B1709;Ribeira de Pena;73,0;73;2023
16F1003;Ansião;73,0;73;2023
11D1819;Tabuaço;73,1;73.1;2023
16I0509;Sertã;73,1;73.1;2023
11D1711;Santa Marta de Penaguião;73,2;73.2;2023
1811509;Santiago do Cacém;73,2;73.2;2023
11D1710;Sabrosa;73,4;73.4;2023
16I1411;Ferreira do Zêzere;73,4;73.4;2023
16E0613;Penacova;73,5;73.5;2023
16G1803;Castro Daire;73,7;73.7;2023
16G1821;Tondela;73,8;73.8;2023
16J0501;Belmonte;74,6;74.6;2023
11D1701;Alijó;74,9;74.9;2023
11D1812;Penedono;75,4;75.4;2023
1840202;Almodôvar;75,8;75.8;2023
16F1013;Pedrógão Grande;75,9;75.9;2023
16G1802;Carregal do Sal;75,9;75.9;2023
16G1816;São Pedro do Sul;76,0;76;2023
16J0504;Fundão;76,1;76.1;2023
11E0407;Mirandela;76,2;76.2;2023
16J;Beiras e Serra da Estrela;76,3;76.3;2023
1500804;Castro Marim;76,4;76.4;2023
16G1814;Santa Comba Dão;76,4;76.4;2023
1811501;Alcácer do Sal;76,4;76.4;2023
11B1703;Chaves;76,8;76.8;2023
1861201;Alter do Chão;77,1;77.1;2023
16E0601;Arganil;77,6;77.6;2023
1861203;Avis;77,6;77.6;2023
16H;Beira Baixa;77,7;77.7;2023
1840212;Ourique;77,7;77.7;2023
1861210;Marvão;77,7;77.7;2023
16F1007;Castanheira de Pêra;77,9;77.9;2023
16E0615;Soure;78,1;78.1;2023
11E;Terras de Trás-os-Montes;78,2;78.2;2023
1851409;Coruche;78,4;78.4;2023
1861205;Castelo de Vide;78,4;78.4;2023
1111604;Monção;79,1;79.1;2023
11B1713;Vila Pouca de Aguiar;79,7;79.7;2023
11E0405;Macedo de Cavaleiros;79,7;79.7;2023
1500809;Monchique;79,8;79.8;2023
11D1707;Murça;80,6;80.6;2023
16J0905;Fornos de Algodres;80,6;80.6;2023
16F1008;Figueiró dos Vinhos;80,9;80.9;2023
16G1811;Penalva do Castelo;81,0;81;2023
16J0912;Seia;81,4;81.4;2023
11E0410;Vila Flor;81,6;81.6;2023
1840209;Mértola;82,2;82.2;2023
11B;Alto Tâmega;82,6;82.6;2023
16E0606;Góis;82,7;82.7;2023
16J0903;Celorico da Beira;82,8;82.8;2023
16F1002;Alvaiázere;83,0;83;2023
1111601;Arcos de Valdevez;83,6;83.6;2023
11D0914;Vila Nova de Foz Côa;83,8;83.8;2023
1861206;Crato;84,0;84;2023
16J0913;Trancoso;84,1;84.1;2023
