geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;sinal_conv;sinal_conv_desc;ind_string;valor;periodo
18;Alentejo;1;H;3;Básico - 2º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;17,4 §;17.4;4.º Trimestre de 2024
2;Região Autónoma dos Açores;1;H;3;Básico - 2º Ciclo;;;9,4;9.4;4.º Trimestre de 2024
20;Região Autónoma dos Açores;1;H;3;Básico - 2º Ciclo;;;9,4;9.4;4.º Trimestre de 2024
3;Região Autónoma da Madeira;1;H;3;Básico - 2º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;8,7 §;8.7;4.º Trimestre de 2024
30;Região Autónoma da Madeira;1;H;3;Básico - 2º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;8,7 §;8.7;4.º Trimestre de 2024
PT;Portugal;1;H;3;Básico - 2º Ciclo;;;224,8;224.8;4.º Trimestre de 2024
1;Continente;2;M;3;Básico - 2º Ciclo;;;137,0;137;4.º Trimestre de 2024
11;Norte;2;M;3;Básico - 2º Ciclo;;;68,1;68.1;4.º Trimestre de 2024
15;Algarve;2;M;3;Básico - 2º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;4,8 §;4.8;4.º Trimestre de 2024
16;Centro;2;M;3;Básico - 2º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;26,5 §;26.5;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;2;M;3;Básico - 2º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;28,8 §;28.8;4.º Trimestre de 2024
18;Alentejo;2;M;3;Básico - 2º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;8,7 §;8.7;4.º Trimestre de 2024
2;Região Autónoma dos Açores;2;M;3;Básico - 2º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;6,9 §;6.9;4.º Trimestre de 2024
20;Região Autónoma dos Açores;2;M;3;Básico - 2º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;6,9 §;6.9;4.º Trimestre de 2024
3;Região Autónoma da Madeira;2;M;3;Básico - 2º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;7,3 §;7.3;4.º Trimestre de 2024
30;Região Autónoma da Madeira;2;M;3;Básico - 2º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;7,3 §;7.3;4.º Trimestre de 2024
PT;Portugal;2;M;3;Básico - 2º Ciclo;;;151,2;151.2;4.º Trimestre de 2024
1;Continente;T;HM;3;Básico - 2º Ciclo;;;343,7;343.7;4.º Trimestre de 2024
11;Norte;T;HM;3;Básico - 2º Ciclo;;;161,3;161.3;4.º Trimestre de 2024
15;Algarve;T;HM;3;Básico - 2º Ciclo;;;14,5;14.5;4.º Trimestre de 2024
16;Centro;T;HM;3;Básico - 2º Ciclo;;;74,2;74.2;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;T;HM;3;Básico - 2º Ciclo;;;67,5;67.5;4.º Trimestre de 2024
18;Alentejo;T;HM;3;Básico - 2º Ciclo;;;26,2;26.2;4.º Trimestre de 2024
2;Região Autónoma dos Açores;T;HM;3;Básico - 2º Ciclo;;;16,3;16.3;4.º Trimestre de 2024
20;Região Autónoma dos Açores;T;HM;3;Básico - 2º Ciclo;;;16,3;16.3;4.º Trimestre de 2024
3;Região Autónoma da Madeira;T;HM;3;Básico - 2º Ciclo;;;16,0;16;4.º Trimestre de 2024
30;Região Autónoma da Madeira;T;HM;3;Básico - 2º Ciclo;;;16,0;16;4.º Trimestre de 2024
PT;Portugal;T;HM;3;Básico - 2º Ciclo;;;376,0;376;4.º Trimestre de 2024
1;Continente;1;H;4;Básico - 3º Ciclo;;;379,7;379.7;4.º Trimestre de 2024
11;Norte;1;H;4;Básico - 3º Ciclo;;;139,4;139.4;4.º Trimestre de 2024
15;Algarve;1;H;4;Básico - 3º Ciclo;;;21,5;21.5;4.º Trimestre de 2024
16;Centro;1;H;4;Básico - 3º Ciclo;;;95,4;95.4;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;1;H;4;Básico - 3º Ciclo;;;90,8;90.8;4.º Trimestre de 2024
18;Alentejo;1;H;4;Básico - 3º Ciclo;;;32,6;32.6;4.º Trimestre de 2024
2;Região Autónoma dos Açores;1;H;4;Básico - 3º Ciclo;;;12,8;12.8;4.º Trimestre de 2024
20;Região Autónoma dos Açores;1;H;4;Básico - 3º Ciclo;;;12,8;12.8;4.º Trimestre de 2024
3;Região Autónoma da Madeira;1;H;4;Básico - 3º Ciclo;;;11,1;11.1;4.º Trimestre de 2024
30;Região Autónoma da Madeira;1;H;4;Básico - 3º Ciclo;;;11,1;11.1;4.º Trimestre de 2024
PT;Portugal;1;H;4;Básico - 3º Ciclo;;;403,6;403.6;4.º Trimestre de 2024
1;Continente;2;M;4;Básico - 3º Ciclo;;;294,7;294.7;4.º Trimestre de 2024
11;Norte;2;M;4;Básico - 3º Ciclo;;;107,1;107.1;4.º Trimestre de 2024
15;Algarve;2;M;4;Básico - 3º Ciclo;;;17,8;17.8;4.º Trimestre de 2024
16;Centro;2;M;4;Básico - 3º Ciclo;;;65,6;65.6;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;2;M;4;Básico - 3º Ciclo;;;79,9;79.9;4.º Trimestre de 2024
18;Alentejo;2;M;4;Básico - 3º Ciclo;;;24,2;24.2;4.º Trimestre de 2024
2;Região Autónoma dos Açores;2;M;4;Básico - 3º Ciclo;;;9,9;9.9;4.º Trimestre de 2024
