geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;ind_string;valor;periodo
11A1312;Porto;T;HM;31;20 - 24 anos;12 927;12927;2023
16B;Oeste;1;H;62;55 - 59 anos;12 935;12935;2023
11C;Tâmega e Sousa;1;H;31;20 - 24 anos;12 949;12949;2023
11A1317;Vila Nova de Gaia;2;M;52;45 - 49 anos;12 959;12959;2023
11A1317;Vila Nova de Gaia;2;M;61;50 - 54 anos;12 966;12966;2023
1701115;Amadora;T;HM;52;45 - 49 anos;12 982;12982;2023
1701107;Loures;T;HM;42;35 - 39 anos;13 023;13023;2023
1701111;Sintra;2;M;41;30 - 34 anos;13 031;13031;2023
16D;Região de Aveiro;1;H;51;40 - 44 anos;13 043;13043;2023
16D;Região de Aveiro;1;H;62;55 - 59 anos;13 048;13048;2023
16I;Médio Tejo;T;HM;82;75 - 79 anos;13 052;13052;2023
16J0504;Fundão;1;H;T;Total;13 067;13067;2023
16F;Região de Leiria;T;HM;21;10 - 14 anos;13 069;13069;2023
11A1308;Matosinhos;T;HM;62;55 - 59 anos;13 080;13080;2023
3003107;Ribeira Brava;T;HM;T;Total;13 080;13080;2023
16D0114;Oliveira do Bairro;2;M;T;Total;13 081;13081;2023
16D;Região de Aveiro;T;HM;91;80 - 84 anos;13 084;13084;2023
16J;Beiras e Serra da Estrela;T;HM;92;85 e mais anos;13 093;13093;2023
15;Algarve;2;M;41;30 - 34 anos;13 112;13112;2023
150;Algarve;2;M;41;30 - 34 anos;13 112;13112;2023
1701107;Loures;T;HM;62;55 - 59 anos;13 113;13113;2023
11A1304;Gondomar;T;HM;62;55 - 59 anos;13 139;13139;2023
1701105;Cascais;T;HM;72;65 - 69 anos;13 143;13143;2023
112;Cávado;1;H;42;35 - 39 anos;13 156;13156;2023
11A1312;Porto;T;HM;82;75 - 79 anos;13 184;13184;2023
11A1308;Matosinhos;T;HM;71;60 - 64 anos;13 189;13189;2023
16D0102;Albergaria-a-Velha;2;M;T;Total;13 193;13193;2023
1701106;Lisboa;2;M;11;0 - 4 anos;13 202;13202;2023
11D;Douro;T;HM;61;50 - 54 anos;13 215;13215;2023
16D0108;Estarreja;1;H;T;Total;13 220;13220;2023
11C;Tâmega e Sousa;1;H;51;40 - 44 anos;13 232;13232;2023
1120303;Braga;T;HM;42;35 - 39 anos;13 254;13254;2023
16B1014;Peniche;1;H;T;Total;13 262;13262;2023
11A1304;Gondomar;T;HM;61;50 - 54 anos;13 280;13280;2023
16B1012;Óbidos;T;HM;T;Total;13 294;13294;2023
16B;Oeste;1;H;51;40 - 44 anos;13 304;13304;2023
1701106;Lisboa;1;H;72;65 - 69 anos;13 309;13309;2023
1701111;Sintra;1;H;62;55 - 59 anos;13 313;13313;2023
1701106;Lisboa;1;H;22;15 - 19 anos;13 318;13318;2023
1840210;Moura;T;HM;T;Total;13 320;13320;2023
16G1809;Nelas;T;HM;T;Total;13 323;13323;2023
15;Algarve;1;H;41;30 - 34 anos;13 352;13352;2023
150;Algarve;1;H;41;30 - 34 anos;13 352;13352;2023
