geocod,geodsg,dim_3,dim_3_t,sinal_conv,sinal_conv_desc,ind_string,periodo,valor
PTMAD,Madalena,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,-,Dado nulo ou não aplicável,-,2023,
PTOPO,Douro,04,"Produtos alimentares, bebidas e tabaco",-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,04,"Produtos alimentares, bebidas e tabaco",,,199 715,2023,199715
PTPRG,Praia da Graciosa,04,"Produtos alimentares, bebidas e tabaco",,,905,2023,905
PTPRM,Portimão,04,"Produtos alimentares, bebidas e tabaco",-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,04,"Produtos alimentares, bebidas e tabaco",,,47 008,2023,47008
PTPXO,Porto Santo,04,"Produtos alimentares, bebidas e tabaco",,,266,2023,266
PTSCF,Santa Cruz das Flores,04,"Produtos alimentares, bebidas e tabaco",-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,04,"Produtos alimentares, bebidas e tabaco",-,Dado nulo ou não aplicável,-,2023,
PTSCG,Santa Cruz da Graciosa,04,"Produtos alimentares, bebidas e tabaco",-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,04,"Produtos alimentares, bebidas e tabaco",,,284 825,2023,284825
PTSIN,Sines,04,"Produtos alimentares, bebidas e tabaco",,,1 764 321,2023,1764321
PTVDC,Viana do Castelo,04,"Produtos alimentares, bebidas e tabaco",-,Dado nulo ou não aplicável,-,2023,
PTVDP,Vila do Porto,04,"Produtos alimentares, bebidas e tabaco",,,1 347,2023,1347
PTVEL,Velas,04,"Produtos alimentares, bebidas e tabaco",,,5 065,2023,5065
PTVNC,Vila Nova do Corvo,04,"Produtos alimentares, bebidas e tabaco",-,Dado nulo ou não aplicável,-,2023,
PTVRE,Vila Real de Santo António,04,"Produtos alimentares, bebidas e tabaco",-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,04,"Produtos alimentares, bebidas e tabaco",,,264 354,2023,264354
C,Continente,04,"Produtos alimentares, bebidas e tabaco",,,3 599 008,2023,3599008
M,Região Autónoma da Madeira,04,"Produtos alimentares, bebidas e tabaco",,,19 945,2023,19945
P,Portugal,04,"Produtos alimentares, bebidas e tabaco",,,3 883 307,2023,3883307
PT88P,Instalações offshore de Portugal,04,"Produtos alimentares, bebidas e tabaco",-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,04,"Produtos alimentares, bebidas e tabaco",-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,04,"Produtos alimentares, bebidas e tabaco",,,18 136,2023,18136
PTCAL,Calheta,04,"Produtos alimentares, bebidas e tabaco",-,Dado nulo ou não aplicável,-,2023,
PTCDP,Cais do Pico,04,"Produtos alimentares, bebidas e tabaco",,,1 884,2023,1884
PTCNL,Caniçal,04,"Produtos alimentares, bebidas e tabaco",,,19 615,2023,19615
PTFAO,Faro,04,"Produtos alimentares, bebidas e tabaco",-,Dado nulo ou não aplicável,-,2023,
PTFDF,Figueira da Foz,04,"Produtos alimentares, bebidas e tabaco",-,Dado nulo ou não aplicável,-,2023,
PTFNC,Funchal,04,"Produtos alimentares, bebidas e tabaco",,,64,2023,64
PTHOR,Horta,04,"Produtos alimentares, bebidas e tabaco",,,8 136,2023,8136
PTLAJ,Lajes das Flores,04,"Produtos alimentares, bebidas e tabaco",,,294,2023,294
PTLDP,Lajes do Pico,04,"Produtos alimentares, bebidas e tabaco",-,Dado nulo ou não aplicável,-,2023,
PTLEI,Leixões,04,"Produtos alimentares, bebidas e tabaco",,,545 888,2023,545888
PTLIS,Lisboa,04,"Produtos alimentares, bebidas e tabaco",,,985 838,2023,985838
PTMAD,Madalena,04,"Produtos alimentares, bebidas e tabaco",-,Dado nulo ou não aplicável,-,2023,
PTOPO,Douro,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,05,Têxteis e produtos têxteis; couro e artigos de couro,,,9 075,2023,9075
PTPRG,Praia da Graciosa,05,Têxteis e produtos têxteis; couro e artigos de couro,,,448,2023,448
PTPRM,Portimão,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,05,Têxteis e produtos têxteis; couro e artigos de couro,,,477,2023,477
PTPXO,Porto Santo,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
PTSCF,Santa Cruz das Flores,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
PTSCG,Santa Cruz da Graciosa,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,05,Têxteis e produtos têxteis; couro e artigos de couro,,,5 983,2023,5983
PTSIN,Sines,05,Têxteis e produtos têxteis; couro e artigos de couro,,,292 620,2023,292620
PTVDC,Viana do Castelo,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
PTVDP,Vila do Porto,05,Têxteis e produtos têxteis; couro e artigos de couro,,,763,2023,763
PTVEL,Velas,05,Têxteis e produtos têxteis; couro e artigos de couro,,,231,2023,231
PTVNC,Vila Nova do Corvo,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
PTVRE,Vila Real de Santo António,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,05,Têxteis e produtos têxteis; couro e artigos de couro,,,12 253,2023,12253
C,Continente,05,Têxteis e produtos têxteis; couro e artigos de couro,,,417 133,2023,417133
M,Região Autónoma da Madeira,05,Têxteis e produtos têxteis; couro e artigos de couro,,,789,2023,789
P,Portugal,05,Têxteis e produtos têxteis; couro e artigos de couro,,,430 175,2023,430175
PT88P,Instalações offshore de Portugal,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,05,Têxteis e produtos têxteis; couro e artigos de couro,,,3 658,2023,3658
PTCAL,Calheta,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
PTCDP,Cais do Pico,05,Têxteis e produtos têxteis; couro e artigos de couro,,,240,2023,240
PTCNL,Caniçal,05,Têxteis e produtos têxteis; couro e artigos de couro,,,789,2023,789
PTFAO,Faro,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
PTFDF,Figueira da Foz,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
PTFNC,Funchal,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
PTHOR,Horta,05,Têxteis e produtos têxteis; couro e artigos de couro,,,996,2023,996
