geocod,geodsg,dim_3,dim_3_t,sinal_conv,sinal_conv_desc,ind_string,periodo,valor
PTPXO,Porto Santo,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,290,2023,290
PTSCF,Santa Cruz das Flores,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,-,Dado nulo ou não aplicável,-,2023,
PTSCG,Santa Cruz da Graciosa,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,17 017,2023,17017
PTSIN,Sines,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,87 547,2023,87547
PTVDC,Viana do Castelo,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,-,Dado nulo ou não aplicável,-,2023,
PTVDP,Vila do Porto,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,590,2023,590
PTVEL,Velas,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,2 030,2023,2030
PTVNC,Vila Nova do Corvo,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,111,2023,111
PTVRE,Vila Real de Santo António,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,19 666,2023,19666
C,Continente,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,599 828,2023,599828
M,Região Autónoma da Madeira,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,18 427,2023,18427
P,Portugal,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,637 921,2023,637921
PT88P,Instalações offshore de Portugal,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,179 639,2023,179639
PTCAL,Calheta,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,-,Dado nulo ou não aplicável,-,2023,
PTCDP,Cais do Pico,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,1 508,2023,1508
PTCNL,Caniçal,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,18 137,2023,18137
PTFAO,Faro,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,-,Dado nulo ou não aplicável,-,2023,
PTFDF,Figueira da Foz,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,32 393,2023,32393
PTFNC,Funchal,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,-,Dado nulo ou não aplicável,-,2023,
PTHOR,Horta,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,1 871,2023,1871
PTLAJ,Lajes das Flores,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,39,2023,39
PTLDP,Lajes do Pico,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,-,Dado nulo ou não aplicável,-,2023,
PTLEI,Leixões,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,160 871,2023,160871
PTLIS,Lisboa,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,122 361,2023,122361
PTMAD,Madalena,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,-,Dado nulo ou não aplicável,-,2023,
PTOPO,Douro,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,15,"Correio, encomendas",,,70,2023,70
PTPRG,Praia da Graciosa,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTPRM,Portimão,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,15,"Correio, encomendas",,,163,2023,163
PTPXO,Porto Santo,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTSCF,Santa Cruz das Flores,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTSCG,Santa Cruz da Graciosa,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTSIN,Sines,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTVDC,Viana do Castelo,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTVDP,Vila do Porto,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTVEL,Velas,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTVNC,Vila Nova do Corvo,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTVRE,Vila Real de Santo António,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,15,"Correio, encomendas",,,233,2023,233
C,Continente,15,"Correio, encomendas",,,696,2023,696
M,Região Autónoma da Madeira,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
P,Portugal,15,"Correio, encomendas",,,929,2023,929
PT88P,Instalações offshore de Portugal,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTCAL,Calheta,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTCDP,Cais do Pico,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTCNL,Caniçal,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTFAO,Faro,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTFDF,Figueira da Foz,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTFNC,Funchal,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTHOR,Horta,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTLAJ,Lajes das Flores,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTLDP,Lajes do Pico,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTLEI,Leixões,15,"Correio, encomendas",,,1,2023,1
PTLIS,Lisboa,15,"Correio, encomendas",,,695,2023,695
PTMAD,Madalena,15,"Correio, encomendas",-,Dado nulo ou não aplicável,-,2023,
PTOPO,Douro,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTPRG,Praia da Graciosa,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTPRM,Portimão,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTPXO,Porto Santo,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTSCF,Santa Cruz das Flores,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTSCG,Santa Cruz da Graciosa,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTSIN,Sines,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTVDC,Viana do Castelo,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTVDP,Vila do Porto,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTVEL,Velas,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTVNC,Vila Nova do Corvo,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTVRE,Vila Real de Santo António,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
C,Continente,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
M,Região Autónoma da Madeira,16,Equipamento e material utilizados no transporte de mercadorias,,,3,2023,3
P,Portugal,16,Equipamento e material utilizados no transporte de mercadorias,,,3,2023,3
PT88P,Instalações offshore de Portugal,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTCAL,Calheta,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTCDP,Cais do Pico,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTCNL,Caniçal,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTFAO,Faro,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTFDF,Figueira da Foz,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTFNC,Funchal,16,Equipamento e material utilizados no transporte de mercadorias,,,3,2023,3
PTHOR,Horta,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTLAJ,Lajes das Flores,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTLDP,Lajes do Pico,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTLEI,Leixões,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTLIS,Lisboa,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTMAD,Madalena,16,Equipamento e material utilizados no transporte de mercadorias,-,Dado nulo ou não aplicável,-,2023,
PTOPO,Douro,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTPRG,Praia da Graciosa,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTPRM,Portimão,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTPXO,Porto Santo,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTSCF,Santa Cruz das Flores,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTSCG,Santa Cruz da Graciosa,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,,,72,2023,72
PTSIN,Sines,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,,,7 325,2023,7325
PTVDC,Viana do Castelo,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTVDP,Vila do Porto,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTVEL,Velas,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTVNC,Vila Nova do Corvo,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTVRE,Vila Real de Santo António,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,,,31,2023,31
C,Continente,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,,,19 432,2023,19432
M,Região Autónoma da Madeira,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
P,Portugal,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,,,19 463,2023,19463
PT88P,Instalações offshore de Portugal,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,,,41,2023,41
PTCAL,Calheta,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTCDP,Cais do Pico,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTCNL,Caniçal,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTFAO,Faro,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTFDF,Figueira da Foz,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTFNC,Funchal,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTHOR,Horta,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,,,31,2023,31
PTLAJ,Lajes das Flores,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTLDP,Lajes do Pico,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTLEI,Leixões,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,,,11 683,2023,11683
PTLIS,Lisboa,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,,,311,2023,311
PTMAD,Madalena,17,Mercadorias transportadas no contexto de uma mudança de carácter privado ou profissional; bagagem e artigos que acompanham os viajantes; veículos a motor transportados para reparação; outros bens não mercantis n.e.,-,Dado nulo ou não aplicável,-,2023,
PTOPO,Douro,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTPRG,Praia da Graciosa,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTPRM,Portimão,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTPXO,Porto Santo,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,,,56,2023,56
PTSCF,Santa Cruz das Flores,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTSCG,Santa Cruz da Graciosa,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTSIN,Sines,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,,,2 341,2023,2341
PTVDC,Viana do Castelo,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTVDP,Vila do Porto,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTVEL,Velas,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTVNC,Vila Nova do Corvo,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTVRE,Vila Real de Santo António,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
C,Continente,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,,,206 381,2023,206381
M,Região Autónoma da Madeira,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,,,3 129,2023,3129
P,Portugal,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,,,209 510,2023,209510
PT88P,Instalações offshore de Portugal,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTCAL,Calheta,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTCDP,Cais do Pico,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTCNL,Caniçal,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTFAO,Faro,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTFDF,Figueira da Foz,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTFNC,Funchal,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,,,3 073,2023,3073
PTHOR,Horta,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTLAJ,Lajes das Flores,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTLDP,Lajes do Pico,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTLEI,Leixões,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,,,204 040,2023,204040
PTLIS,Lisboa,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTMAD,Madalena,18,Mercadorias grupadas: diversos tipos de mercadorias transportados em conjunto,-,Dado nulo ou não aplicável,-,2023,
PTOPO,Douro,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",,,1,2023,1
PTPRG,Praia da Graciosa,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",-,Dado nulo ou não aplicável,-,2023,
PTPRM,Portimão,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",-,Dado nulo ou não aplicável,-,2023,
PTPXO,Porto Santo,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",-,Dado nulo ou não aplicável,-,2023,
PTSCF,Santa Cruz das Flores,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",-,Dado nulo ou não aplicável,-,2023,
PTSCG,Santa Cruz da Graciosa,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",,,83,2023,83
PTSIN,Sines,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",,,3 059,2023,3059
PTVDC,Viana do Castelo,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",,,8,2023,8
PTVDP,Vila do Porto,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",-,Dado nulo ou não aplicável,-,2023,
PTVEL,Velas,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",-,Dado nulo ou não aplicável,-,2023,
PTVNC,Vila Nova do Corvo,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",-,Dado nulo ou não aplicável,-,2023,
PTVRE,Vila Real de Santo António,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",,,1,2023,1
C,Continente,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",,,4 364,2023,4364
M,Região Autónoma da Madeira,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",-,Dado nulo ou não aplicável,-,2023,
P,Portugal,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",,,4 365,2023,4365
PT88P,Instalações offshore de Portugal,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,19,"Mercadorias não identificáveis: mercadorias que, por determinado motivo, não podem ser identificadas e, por conseguinte, não se podem classificar num dos grupos de 01 a 16.",-,Dado nulo ou não aplicável,-,2023,
