geocod,geodsg,dim_3,dim_3_t,ind_string,valor,periodo,sinal_conv,sinal_conv_desc
186,Alto Alentejo,4759,"Comércio a retalho de móveis, de artigos de iluminação e de outros artigos para o lar, em estabelecimentos especializados",-3 865,-3865,2022,,
186,Alto Alentejo,47591,"Comércio a retalho de mobiliário e artigos de iluminação, em estabelecimentos especializados",-3 865,-3865,2022,,
16D,Região de Aveiro,0122,Cultura de frutos tropicais e subtropicais,-3 850,-3850,2022,,
16D,Região de Aveiro,01220,Cultura de frutos tropicais e subtropicais,-3 850,-3850,2022,,
3,Região Autónoma da Madeira,56303,Pastelarias e casas de chá,-3 839,-3839,2022,,
30,Região Autónoma da Madeira,56303,Pastelarias e casas de chá,-3 839,-3839,2022,,
300,Região Autónoma da Madeira,56303,Pastelarias e casas de chá,-3 839,-3839,2022,,
2,Região Autónoma dos Açores,58,Atividades de edição,-3 822,-3822,2022,,
2,Região Autónoma dos Açores,582,Edição de programas informáticos,-3 822,-3822,2022,,
2,Região Autónoma dos Açores,5829,Edição de outros programas informáticos,-3 822,-3822,2022,,
2,Região Autónoma dos Açores,58290,Edição de outros programas informáticos,-3 822,-3822,2022,,
20,Região Autónoma dos Açores,58,Atividades de edição,-3 822,-3822,2022,,
20,Região Autónoma dos Açores,582,Edição de programas informáticos,-3 822,-3822,2022,,
20,Região Autónoma dos Açores,5829,Edição de outros programas informáticos,-3 822,-3822,2022,,
20,Região Autónoma dos Açores,58290,Edição de outros programas informáticos,-3 822,-3822,2022,,
200,Região Autónoma dos Açores,58,Atividades de edição,-3 822,-3822,2022,,
200,Região Autónoma dos Açores,582,Edição de programas informáticos,-3 822,-3822,2022,,
200,Região Autónoma dos Açores,5829,Edição de outros programas informáticos,-3 822,-3822,2022,,
200,Região Autónoma dos Açores,58290,Edição de outros programas informáticos,-3 822,-3822,2022,,
16G,Viseu Dão Lafões,4771,"Comércio a retalho de vestuário, em estabelecimentos especializados",-3 807,-3807,2022,,
16G,Viseu Dão Lafões,47711,"Comércio a retalho de vestuário para adultos, em estabelecimentos especializados",-3 807,-3807,2022,,
