geocod;geodsg;ind_string;valor;periodo
1811509;Santiago do Cacém;51,8;51.8;2023
1870701;Alandroal;51,8;51.8;2023
11D1807;Moimenta da Beira;51,9;51.9;2023
1861215;Sousel;52,0;52;2023
16E0614;Penela;52,3;52.3;2023
16J0503;Covilhã;52,4;52.4;2023
16E0602;Cantanhede;52,6;52.6;2023
16E0608;Mira;52,8;52.8;2023
1111605;Paredes de Coura;52,9;52.9;2023
16I1418;Tomar;53,0;53;2023
1190311;Vieira do Minho;53,2;53.2;2023
1861208;Fronteira;53,4;53.4;2023
16G1817;Sátão;53,7;53.7;2023
16G1809;Nelas;53,9;53.9;2023
1851407;Chamusca;54,3;54.3;2023
16I1401;Abrantes;54,5;54.5;2023
16G1824;Vouzela;54,6;54.6;2023
16I1411;Ferreira do Zêzere;54,7;54.7;2023
11D1818;Sernancelhe;54,8;54.8;2023
16I0509;Sertã;55,3;55.3;2023
1500804;Castro Marim;55,9;55.9;2023
1861201;Alter do Chão;56,0;56;2023
16F1003;Ansião;56,2;56.2;2023
16G1822;Vila Nova de Paiva;56,2;56.2;2023
16G1821;Tondela;56,5;56.5;2023
11B1709;Ribeira de Pena;56,6;56.6;2023
16G1802;Carregal do Sal;56,6;56.6;2023
1840202;Almodôvar;56,6;56.6;2023
16J0501;Belmonte;56,8;56.8;2023
1811501;Alcácer do Sal;56,9;56.9;2023
11D1711;Santa Marta de Penaguião;57,7;57.7;2023
11D1819;Tabuaço;57,7;57.7;2023
16E0613;Penacova;57,7;57.7;2023
1861203;Avis;57,7;57.7;2023
16G1803;Castro Daire;57,8;57.8;2023
16G1814;Santa Comba Dão;57,8;57.8;2023
11D1710;Sabrosa;57,9;57.9;2023
16J0504;Fundão;57,9;57.9;2023
11E0407;Mirandela;58,4;58.4;2023
16E0601;Arganil;58,8;58.8;2023
1840212;Ourique;58,8;58.8;2023
16G1816;São Pedro do Sul;58,9;58.9;2023
1851409;Coruche;58,9;58.9;2023
16J;Beiras e Serra da Estrela;59,2;59.2;2023
11D1701;Alijó;59,3;59.3;2023
16H;Beira Baixa;59,3;59.3;2023
11B1703;Chaves;59,6;59.6;2023
1861210;Marvão;60,2;60.2;2023
16E0615;Soure;60,7;60.7;2023
16F1013;Pedrógão Grande;60,9;60.9;2023
11E;Terras de Trás-os-Montes;61,3;61.3;2023
11D1812;Penedono;61,4;61.4;2023
1861205;Castelo de Vide;61,4;61.4;2023
1500809;Monchique;61,7;61.7;2023
1111604;Monção;61,8;61.8;2023
11E0405;Macedo de Cavaleiros;63,6;63.6;2023
16G1811;Penalva do Castelo;63,8;63.8;2023
16J0905;Fornos de Algodres;64,0;64;2023
16J0912;Seia;64,3;64.3;2023
16F1008;Figueiró dos Vinhos;64,6;64.6;2023
11B1713;Vila Pouca de Aguiar;64,7;64.7;2023
11E0410;Vila Flor;65,2;65.2;2023
11D1707;Murça;65,7;65.7;2023
16F1007;Castanheira de Pêra;65,9;65.9;2023
16J0903;Celorico da Beira;65,9;65.9;2023
16E1808;Mortágua;66,3;66.3;2023
11B;Alto Tâmega;66,4;66.4;2023
16F1002;Alvaiázere;66,7;66.7;2023
1111601;Arcos de Valdevez;66,8;66.8;2023
1840209;Mértola;66,8;66.8;2023
1861206;Crato;67,1;67.1;2023
11D0914;Vila Nova de Foz Côa;67,6;67.6;2023
16E0606;Góis;68,4;68.4;2023
16J0913;Trancoso;68,4;68.4;2023
16G0901;Aguiar da Beira;69,2;69.2;2023
16J0908;Manteigas;70,0;70;2023
1870707;Mora;70,3;70.3;2023
11E0401;Alfândega da Fé;70,7;70.7;2023
16I0510;Vila de Rei;71,4;71.4;2023
11D0404;Freixo de Espada à Cinta;71,5;71.5;2023
16H0508;Proença-a-Nova;72,2;72.2;2023
16J0904;Figueira de Castelo Rodrigo;72,5;72.5;2023
11D0403;Carrazeda de Ansiães;72,7;72.7;2023
16J0909;Mêda;72,7;72.7;2023
16J0906;Gouveia;73,3;73.3;2023
11B1702;Boticas;73,4;73.4;2023
11E0408;Mogadouro;74,0;74;2023
16J0910;Pinhel;74,5;74.5;2023
1861212;Nisa;76,4;76.4;2023
11E0406;Miranda do Douro;77,9;77.9;2023
11B1706;Montalegre;79,0;79;2023
16I1413;Mação;79,8;79.8;2023
1861209;Gavião;80,2;80.2;2023
11B1712;Valpaços;81,0;81;2023
11D0409;Torre de Moncorvo;81,9;81.9;2023
16H0505;Idanha-a-Nova;82,2;82.2;2023
16H0507;Penamacor;87,4;87.4;2023
1111603;Melgaço;88,3;88.3;2023
11E0411;Vimioso;88,3;88.3;2023
16H0511;Vila Velha de Ródão;88,9;88.9;2023
16J0902;Almeida;90,2;90.2;2023
16J0911;Sabugal;92,2;92.2;2023
16E0612;Pampilhosa da Serra;93,6;93.6;2023
16H0506;Oleiros;94,0;94;2023
11E0412;Vinhais;95,6;95.6;2023
1500802;Alcoutim;97,6;97.6;2023
